rel_event,mean,std,n,ci95
-20,0.2772958724710502,0.3084120723282204,38,0.09806084754725618
-19,0.5527304204327887,0.4704861230091522,38,0.14959293789382097
-18,0.7595468435534521,0.5437261256075439,38,0.17287988861187933
-17,0.8041455455516514,0.597534259337982,38,0.18998839917928512
-16,0.36669655766730247,0.48632254012759424,38,0.15462818983134444
-15,0.16554008975723072,0.33444185502135265,38,0.10633712069405767
-14,0.08688845726857453,0.25237854246935193,38,0.08024476341168602
-13,0.10060519079285625,0.21204965885703067,38,0.06742203413975857
-12,0.14004800282418728,0.06973038029293191,38,0.02217105231873155
-11,0.10778257345143509,0.05500031879496786,38,0.017487570560026765
-10,0.05164345190860331,0.05018494956330587,39,0.01575060571185222
-9,0.0305495270492755,0.03048106845949118,53,0.00820631763657444
-8,0.027625408059167158,0.03601791987612554,72,0.008319715026956422
-7,0.017274857166748824,0.02266294702948891,101,0.004419893126283691
-6,0.013995721551942305,0.014581830057551922,103,0.0028161092006447177
-5,0.0312550065129818,0.07278880952697249,105,0.013922782487333031
-4,0.0824119090807232,0.17621701062043962,114,0.032348300973663105
-3,0.22294411293165595,0.33183998016668803,114,0.06091613695937547
-2,0.49058773743372674,0.47085481903230525,114,0.08643520479282255
-1,0.5955003528353316,0.5641465724309255,114,0.10356084837668486
0,0.5188079218282119,0.5088379430817438,114,0.09340779798541586
1,0.38479286270918683,0.47247802670712064,114,0.08673317835520915
2,0.18106281396058763,0.34108108469299786,114,0.06261253408638175
3,0.12828045303876137,0.31196962821274665,114,0.05726852017598103
4,0.11380405633367206,0.21156682109058286,114,0.03883749463563699
5,0.10340819045443807,0.06158805612212617,114,0.01130576990726857
6,0.11759361004652946,0.06956098194569675,114,0.012769366431085871
7,0.06864431053359192,0.051703475312229984,114,0.009491249311832203
8,0.037702144066427364,0.03419447954062307,114,0.006277108616944945
9,0.04794358873837873,0.05311237993362594,114,0.009749883087173386
10,0.031032102676762038,0.03742468299225879,114,0.006870079710324495
11,0.015859535249897784,0.012914583364372541,114,0.002370740646145819
12,0.018178126466691296,0.01798251568739826,113,0.003315639443541507
13,0.041335630837817335,0.06171184103417196,88,0.012893868541786837
14,0.1256607335759327,0.1796773305295008,80,0.03937353105780688
15,0.18956533810595358,0.21201905220384848,79,0.04675385379846918
16,0.25958005963669467,0.2530432846944053,78,0.0561569595811816
17,0.20877051959426976,0.22242496110363666,76,0.050007229969067514
18,0.23186508916306162,0.246419936746669,76,0.05540195841649299
19,0.1303066779908381,0.1768761477035886,76,0.039766607805024314
20,0.05863373913483596,0.06790461076907263,76,0.015266818390526014
