rel_event,mean,std,n,ci95
-20,0.2019144006556383,0.1727721840272312,54,0.04608217986229905
-19,0.3105392470196993,0.3856593296539269,54,0.10286391119466795
-18,0.3156643411817236,0.4591803210151983,54,0.12247359296514698
-17,0.3417365551512275,0.5255264753604177,54,0.14016958630413479
-16,0.09920560609316453,0.24286351168228842,72,0.05609860909768599
-15,0.02681214512664486,0.0295570332151785,77,0.006601939625531279
-14,0.020085567828209604,0.030557169024320346,80,0.006696134899556459
-13,0.029918889141117688,0.03358838503568914,80,0.007360379395035286
-12,0.09435175140242791,0.09094341258321459,80,0.019928853958904
-11,0.18494519093073905,0.19585147954346746,80,0.042917847731804064
-10,0.3356487087847199,0.38003956628444197,80,0.08327984182645183
-9,0.29382943298395087,0.4265725549054647,82,0.09232983411091919
-8,0.3756191120136212,0.4914021854504766,94,0.09934116028819855
-7,0.13348393280083606,0.2798905645206375,114,0.051379740179021464
-6,0.05116169084386345,0.14046098021495831,114,0.02578453718543665
-5,0.02473563366577748,0.030330206736654167,114,0.005567740893210402
-4,0.050201796853032554,0.07255137996783739,114,0.013318316245355571
-3,0.14384412191800056,0.1421730487915304,114,0.026098823016342018
-2,0.2775454348557743,0.3068532732900407,114,0.05632930671216701
-1,0.31378663074748037,0.4479409661512769,114,0.08222889005140242
0,0.3208015416340347,0.47679981156516077,114,0.08752653194144394
1,0.2048926601766429,0.3637482080708589,114,0.06677355649081672
2,0.049535826344876306,0.12743820763022695,114,0.023393936155495017
3,0.024059797093206273,0.021538905808611765,113,0.003971371242556714
4,0.027527180798309042,0.03143231462514264,109,0.0059009126420473575
5,0.08191846232579718,0.07045926025667414,86,0.014891722165426368
6,0.12040299308208022,0.05668130379555547,82,0.012268429640988156
7,0.14550233606771543,0.15836442446708066,82,0.034277313136934384
8,0.08795169823257844,0.13911440345525056,82,0.030110727110208235
9,0.13616840503314828,0.22459109058525414,82,0.04861179627724167
10,0.07887783927683968,0.13972381514144067,82,0.030242631704735325
11,0.04530736540228401,0.11546098475986818,82,0.02499104418830821
12,0.023940675447570024,0.03887546539323559,82,0.008414430861679983
13,0.026468209262626868,0.02948128318526919,63,0.007280013406333959
14,0.09784819205136348,0.09980420729376431,60,0.025253948805038555
15,0.2024097898354133,0.17724131544790755,60,0.044848240648656564
16,0.2155140885617584,0.2231601280645433,60,0.05646730335605738
17,0.14665439219679682,0.20924706471877985,60,0.0529468125973765
18,0.18488500444218517,0.2384304962099823,60,0.0603312396152165
19,0.0541599956418698,0.04493480407738618,60,0.011370074193311574
20,0.028188347079170246,0.020601022694645546,60,0.005212777963665278
