rel_event,mean,std,n,ci95
-20,0.051852257662297535,0.046465722013951126,120,0.008313772538616433
-19,0.02766466060032447,0.026494621082000475,120,0.0047404891955934395
-18,0.023737966387610263,0.022589460520293987,120,0.0040417673156868845
-17,0.016739402099240883,0.017815040813747407,120,0.003187515240744451
-16,0.019655592445633373,0.0203499097312692,120,0.003641060836983278
-15,0.05393754868321897,0.07385048563155334,120,0.01321352844195022
-14,0.1582933811150724,0.21307710481766146,120,0.038124331353531785
-13,0.18273141616567348,0.20404952978994717,120,0.03650909323599697
-12,0.2815776793790671,0.24457212923921948,120,0.04375950622632051
-11,0.2722657650747957,0.24801874679132424,120,0.04437618435191164
-10,0.17537766042126654,0.20855268565722088,120,0.037314810051829704
-9,0.15568728317933467,0.2136916150070599,120,0.03823428117709822
-8,0.055868479143828156,0.04912685426822418,120,0.008789909512245274
-7,0.0626130324943612,0.053617197762980795,120,0.009593333903766703
-6,0.08420981221327868,0.06342287431324387,120,0.011347792048238355
-5,0.09317773378958615,0.0591902369386219,120,0.010590477132083857
-4,0.0893139164041107,0.062313596235258416,120,0.011149317017124544
-3,0.0649120747577399,0.05351045639315343,120,0.009574235449449377
-2,0.03640569748434549,0.03083119813588037,120,0.005516401280018082
-1,0.022912180392692487,0.019678701493965826,120,0.00352096644548086
0,0.02021345105410243,0.019530958000522135,120,0.00349453178041351
1,0.013233168376609683,0.010554903182506858,90,0.002180665589899729
2,0.011964539298787713,0.0072684070234671876,60,0.001839160731215902
3,0.010323722148314118,0.007634049858037259,30,0.00273180965741253
