rel_event,mean,std,n,ci95
-20,0.2565950814945002,0.3556737611699717,18,0.16431289456342887
-19,0.5980561147961352,0.4379274116676802,18,0.20231214240569045
-18,1.0122617460373375,0.41782162315761123,18,0.1930237419999299
-17,0.8987341622511545,0.5406472631634154,18,0.24976629272836195
-16,0.5904547180980444,0.5927816744912059,18,0.2738511619732876
-15,0.23343411150077978,0.3729846336501087,18,0.17231010963848306
-14,0.06387672283583218,0.05973612817293627,18,0.027596683257769178
-13,0.08747059274982247,0.0814789295935898,18,0.037641345044439764
-12,0.12862437984181774,0.08064706456322149,18,0.037257043007156244
-11,0.11446400145068765,0.07531691711478872,20,0.03300909431877944
-10,0.05900967230375569,0.06144088646078077,26,0.023617116416618514
-9,0.023990073792734427,0.019342087233200606,38,0.006149893722065763
-8,0.017723960840127995,0.013328144707885967,61,0.0033447283648360424
-7,0.015911322818802937,0.017036587996424064,84,0.003643334523611502
-6,0.032305170766678507,0.11647965369086077,107,0.02207060576505407
-5,0.06613702948507444,0.20207501173367726,114,0.03709507541753342
-4,0.14741997631765053,0.32111360500787184,114,0.058947087485819345
-3,0.2894377991160901,0.4196353673040853,114,0.07703280808675628
-2,0.48452214808448363,0.530519141563258,114,0.09738783334908692
-1,0.5770352501748947,0.5188214067946815,114,0.09524047059635557
0,0.569306487826173,0.5284350851749118,114,0.09700526141089012
1,0.43842515665751863,0.5043634973536436,114,0.0925864203182242
2,0.28791966125279206,0.45248766899425463,114,0.0830635320163558
3,0.13402141573054618,0.25680591718693757,114,0.0471420725600318
4,0.0664804501401816,0.059580914265774165,114,0.010937317232708327
5,0.09143707791972383,0.07012268563197895,114,0.012872478836851338
6,0.10021413624155939,0.06731560857395477,114,0.0123571814021172
7,0.0879400266342584,0.06711714025169906,114,0.012320748409641268
8,0.060256873837492446,0.05850804357317182,114,0.010740369480911102
9,0.033950663604691886,0.03650736823814061,114,0.006701687489566013
10,0.022814388256193252,0.021621576446649124,114,0.00396909049789626
11,0.02021193763612884,0.02192577590824985,114,0.004024932642222962
12,0.025679836956052377,0.05045529533568867,112,0.009344451464918458
13,0.05643728014436506,0.10564146987077706,105,0.020206721558043195
14,0.11712601484982677,0.18580571095989395,98,0.03678765389682002
15,0.17950872881677546,0.2094384409329719,96,0.04189641387946824
16,0.22217511730802167,0.21609882281336987,96,0.043228767742557635
17,0.26385586345228756,0.24282920955152285,96,0.04857595874030918
18,0.20132911634573247,0.2313882183161072,96,0.046287283834904644
19,0.16234996198424292,0.20913176304307388,96,0.041835065524574014
20,0.1120788055365362,0.18021163348059865,96,0.03604983473217578
