rel_event,mean,std,n,ci95
-3,0.011318330808232227,0.004536501674327916,30,0.0016233662754703778
-2,0.012949879366594056,0.0059737727736615545,30,0.0021376871330091624
-1,0.011559520840334396,0.00999104358554805,30,0.003575249030617016
0,0.016668863276330135,0.016682311923891618,30,0.005969688654007859
1,0.08676093928515911,0.03494940232748856,30,0.012506483003711507
2,0.32788895778357985,0.25658916455023073,30,0.09181925331123664
3,0.7485219649970531,0.47609950566974957,30,0.17037002006328864
4,0.7475117725630601,0.5580877996515959,30,0.19970915426590055
5,0.8347207501530647,0.6196761234450401,30,0.22174825289002686
6,0.1811055801808834,0.30833793502627727,30,0.11033731300099014
7,0.05169021484131615,0.0347331003697541,30,0.012429080342208826
8,0.029200360310884813,0.04463384686873837,30,0.01597201697538303
9,0.06443234514445066,0.02607967294502691,30,0.009332491107374304
10,0.17808058112859726,0.04329075252064327,30,0.0154913968354609
11,0.10865367278456688,0.043661618998378365,30,0.01562410970010386
12,0.029244682487721243,0.03205049541802609,30,0.01146912248885032
13,0.04071136442944408,0.026303864548835754,30,0.009412717042465758
14,0.02879931094745795,0.02626012591518137,30,0.009397065373424943
15,0.011903284536674618,0.00589639535780091,30,0.0021099979803517184
16,0.013537905636864404,0.01003087903373533,30,0.0035895039626765435
17,0.012717107275966555,0.016594082028469077,30,0.005938115991414617
18,0.04046407233302792,0.02626693824986556,30,0.009399503136083802
19,0.149031109487017,0.09124314779422153,30,0.03265094110625294
20,0.43096123536427816,0.25244322544734743,30,0.09033564805702458
