rel_event,mean,std,n,ci95
-20,0.30497818909309526,0.4442167833082299,27,0.16755953722208336
-19,0.05641542371638395,0.03979929433080543,27,0.015012380419692472
-18,0.03432032159805574,0.048253527117160744,27,0.018201335422021885
-17,0.06169255722866014,0.030339058964733906,27,0.011443959055362713
-16,0.15580675371543126,0.0660189918377842,27,0.02490250736999264
-15,0.12032006998304967,0.05128152768512639,27,0.019343503824795803
-14,0.04724860477640673,0.04601481410947068,27,0.017356888004371476
-13,0.04144164704269281,0.027973751459479772,27,0.010551759917777898
-12,0.030164344375953077,0.02565778243036613,30,0.009181519525611885
-11,0.012517890240997077,0.005853960201543301,30,0.002094812754706866
-10,0.013398262315119307,0.009701645117008424,30,0.003471689118656969
-9,0.014559388374133656,0.018450680972691008,30,0.0066024913911151605
-8,0.03826620271429419,0.031376570894202635,30,0.011227961695197684
-7,0.13718846788009006,0.09503526739383529,30,0.03400793367729068
-6,0.36910886007050675,0.24217755485718473,30,0.08666212501492691
-5,0.2587425493790458,0.30386982322328615,30,0.108738419726674
-4,0.3689553229448696,0.2870457958920089,30,0.10271801886542364
-3,0.17663673007239897,0.1840564445242247,30,0.06586375279314251
-2,0.05094066020877411,0.03162228971423597,30,0.011315891045681079
-1,0.03513105770883461,0.02424108051584604,30,0.008674559256327525
0,0.03686105111458649,0.025277691868686423,30,0.009045505864921054
1,0.1264504025069376,0.05705659446524653,30,0.02041744011078609
2,0.13754657159248987,0.051222599522718903,30,0.01832977183226238
3,0.06960566608856121,0.03910424337984398,30,0.013993273779630902
4,0.026710748951882125,0.020142506569207592,30,0.007207903405598647
5,0.03843602677807212,0.02558160998328371,30,0.009154261565493977
6,0.018732003743449847,0.01564722652930937,30,0.005599288102564061
7,0.012310694406429927,0.005901321414234339,30,0.0021117607470074315
8,0.010852964602721234,0.008042274381504604,30,0.0028778909270320402
9,0.021800222573801875,0.01801459357414447,8,0.012483476451065217
10,0.11939541747172673,0.04111051160343197,3,0.046520923283898785
11,0.28884539008140564,0.09168133772018415,3,0.1037472002243301
12,0.1163726585606734,0.06947744088210382,3,0.07862112562394234
13,0.39010941982269287,0.2271082710317404,3,0.25699720197411696
14,0.09768783549467723,0.03679661441668666,3,0.041639289067932184
15,0.03643121694525083,0.014409457007676884,3,0.016305835609226833
16,0.025912617488453787,0.016625730614783275,3,0.01881378529000188
17,0.02420684943596522,0.01246846813874866,3,0.014109399935126068
18,0.17325360576311746,0.03477523045986952,3,0.039351877787588405
19,0.10038205981254578,0.02806710020651995,3,0.03176091380482873
20,0.05122155509889126,0.019488394616810272,3,0.02205319456105457
