rel_event,mean,std,n,ci95
-20,0.017486231640686054,0.02172645963061282,37,0.0070007436035668105
-19,0.012815680166052,0.0072354484711289555,37,0.002331420786653244
-18,0.013431140114679127,0.013320507838395862,37,0.004292160878089693
-17,0.027390726879742498,0.030330314275342937,37,0.009773094984978416
-16,0.14365759456681237,0.19546327375291045,37,0.06298256995032188
-15,0.3769833155580469,0.3302004505569553,37,0.10639785457149886
-14,0.7087007080884399,0.4997342063885143,37,0.1610253630061516
-13,0.6531983039568405,0.602402006851142,37,0.19410718855900358
-12,0.6530556259173397,0.5473740083498966,37,0.17637595599399447
-11,0.08853130073985085,0.1113984265246014,40,0.03452273004651225
-10,0.04628270011162385,0.04565073239419665,40,0.014147308539608315
-9,0.03272626321413554,0.03133948740096168,40,0.009712207767140572
-8,0.07079134071245789,0.04718325554143931,40,0.014622242383405521
-7,0.15759997833520173,0.058181406916133396,40,0.018030604806149358
-6,0.13059269804507495,0.13566247423409894,40,0.042042236336178616
-5,0.053533400350715965,0.08955112194774745,40,0.027752180213080846
-4,0.11025963306892664,0.24223080522841095,40,0.07506810426988338
-3,0.03835492329006748,0.10090798093999256,70,0.023639188723011167
-2,0.014379150490276516,0.012167311795487185,70,0.00285037295470499
-1,0.016411172412335872,0.01754871586992093,70,0.004111046543902759
0,0.014456237907454903,0.013618771785497231,70,0.003190398949756377
1,0.07265333152161195,0.03750523398138387,65,0.009117825415470737
2,0.24591661645815924,0.2040303333089944,65,0.04960142255065256
3,0.544047989237767,0.42098563433417835,65,0.10234500918419838
4,0.40031904086040765,0.5014163875925194,65,0.12189837516528693
5,0.5841597586583632,0.5220495519997044,65,0.1269144641444091
6,0.12629673603134087,0.21823615406648111,65,0.05305497235691496
7,0.04434527652338147,0.029662211770426276,65,0.007211123345976488
8,0.029012239208588232,0.034304076970695575,65,0.008339598281480487
9,0.053348440931932556,0.030203221595393615,63,0.0074582865592094545
10,0.162466580550822,0.05249214098902221,63,0.012962240745280665
11,0.11048996584519508,0.0417001133823732,63,0.010297292100942556
12,0.0524466183435704,0.06502805122180462,63,0.01605781816576606
13,0.03607943414577416,0.03157542342883325,63,0.007797133673863815
14,0.051519633270800114,0.09051984675378465,63,0.022352680301111212
15,0.016562717286722053,0.02029108942528419,63,0.005010616468654952
16,0.014448796550462406,0.010006795275723105,63,0.002471045893894606
17,0.012465572570810062,0.01389798749192266,57,0.003608033489702816
18,0.03898614297874949,0.025641973347702865,33,0.008748841444315323
19,0.15123315460302614,0.08758082923046905,33,0.029881896299828774
20,0.4009085830413934,0.25906797100512646,33,0.08839197244651135
