rel_event,mean,std,n,ci95
-20,0.2793155668924252,0.4279760094186532,30,0.15314924809403133
-19,0.05595882550502817,0.03902179510006298,30,0.013963770041624047
-18,0.03243119465963294,0.04618722369997566,30,0.01652788573548907
-17,0.06180303602789839,0.02953220032168305,30,0.010567962162112124
-16,0.15857730936259032,0.06471011146691917,30,0.023156215996082155
-15,0.11853886308769385,0.04904508010276007,30,0.017550556515193928
-14,0.04366128845140338,0.04494540069279622,30,0.016083505079494503
-13,0.04019178187785049,0.0268493014544477,30,0.009607899132440085
-12,0.02598544072948004,0.024231941513665634,38,0.0077046423786445465
-11,0.012614391692396667,0.005521044035590417,63,0.0013633488862568105
-10,0.012240163320379834,0.0078448468395222,63,0.0019371812890048986
-9,0.013418073320598712,0.015010786240857998,63,0.0037067153551736337
-8,0.03472595363633618,0.03429154866489983,63,0.008467844918268767
-7,0.13860436901450157,0.1500900583127156,63,0.037062757065471956
-6,0.39395394022502594,0.30659433955242127,63,0.07570942174467474
-5,0.4554269705189481,0.45643146760876413,63,0.1127097210247888
-4,0.5520704797069941,0.4720188837671665,63,0.11655882752026103
-3,0.4382310936907454,0.5377814878005848,63,0.1327980337987019
-2,0.11031781418234228,0.2225455711460409,63,0.05495468875225054
-1,0.043082319983532506,0.038824601594435924,63,0.009587222453203662
0,0.033419127871711106,0.02743201714507721,63,0.006773974230495207
1,0.10720567885668032,0.059449710898607566,63,0.014680320718224171
2,0.15124816814112285,0.05065550349107122,63,0.012508707378919605
3,0.07881437429773902,0.04633495562581469,63,0.01144180516221109
4,0.030402381911814685,0.02774672488714632,63,0.006851687149805482
5,0.0382831801349918,0.0248441147128949,63,0.0061349259135622045
6,0.020858145784586668,0.020642409999593006,63,0.005097370443195894
7,0.01213125182345273,0.0057916601863245345,63,0.0014301739695794812
8,0.011578517982603185,0.009183924169835886,63,0.002267848745219034
9,0.017997671745864575,0.01955789697236955,38,0.0062185112887261805
10,0.07157028378975211,0.08571448254872309,33,0.029245113358933077
11,0.22315705827239787,0.19629095012330386,33,0.0669729422262518
12,0.32540090159146173,0.2521661438065471,33,0.08603712280145302
13,0.19763399834151973,0.20098323796452305,33,0.06857391426445077
14,0.35146573784224916,0.26827742595428433,33,0.09153416669366221
15,0.087667021879249,0.062256428260514425,33,0.021241408075538253
16,0.04138467982975823,0.022359434954012814,33,0.007628864929565356
17,0.03441200735555454,0.020537883189747794,33,0.007007365665367924
18,0.06325669209190617,0.06139551622275872,33,0.0209476715984858
19,0.13185135929873495,0.045788813740854264,33,0.01562278635539992
20,0.11385292576795275,0.05868480505564071,33,0.02002279807643392
