rel_event,mean,std,n,ci95
-5,0.05804554792121047,0.0324804116432028,4,0.03183080341033874
-4,0.06720611825585363,0.034492238804041474,8,0.023901902037510622
-3,0.05508582599993258,0.033374806915308156,14,0.01748279299575435
-2,0.07009127838537094,0.055206273874947545,20,0.02419521630909527
-1,0.04308129075914616,0.029254131881367083,25,0.011467619697495896
0,0.10033055245876309,0.06463582096625994,30,0.02312963148184281
1,0.17148654187719023,0.1193798891042814,30,0.04271954467425502
2,0.14455454318473734,0.11551910818805541,30,0.04133798196661875
3,0.12012351900339122,0.10272831636035566,30,0.03676085589452795
4,0.10321452898594236,0.0635482761603367,30,0.022740458571141674
5,0.10703081901495651,0.12136450848262477,30,0.0434297315979543
6,0.10624270765886948,0.09723780694065101,30,0.03479610233176828
7,0.1001410645820821,0.09687218514011847,30,0.03466526625075896
8,0.11472731791436667,0.13575057788100067,30,0.048577720417193465
9,0.11760687083005902,0.11243791661592152,29,0.04092322602183675
10,0.11748832612231903,0.08757370780698691,28,0.03243775531431722
11,0.14933204511180517,0.16407611923406118,28,0.06077464506090703
12,0.09235597850887899,0.06653645311590739,28,0.024645447129099947
13,0.14930665713769414,0.15283732804764938,27,0.057650572693815225
14,0.11512334096348943,0.1106046621532984,27,0.041720319225651836
15,0.14789580449461934,0.11717382420872667,25,0.045932139089820856
16,0.18036867668464154,0.17295151857925087,24,0.06919501855724605
17,0.16629876119449083,0.1592360377690736,23,0.06507789785988968
18,0.1481108297593891,0.16353503477124812,20,0.0716723890724553
19,0.0894033438008692,0.07458500203894816,18,0.034456513001481115
20,0.1350131967919878,0.13854648611195883,16,0.06788777819485982
