rel_event,mean,std,n,ci95
-20,0.14011402055621142,0.08131153779136174,5,0.07127270533575895
-19,0.14403848350048065,0.05190576894538449,5,0.045497412492220696
-18,0.11912564411759374,0.0807150138991541,5,0.07074982909027278
-17,0.09436655323952431,0.05691482968854541,6,0.04554134856788554
-16,0.1471418617293238,0.12898949342950017,6,0.10321309075357055
-15,0.0835635016361872,0.027926079379183906,6,0.022345517365183535
-14,0.08074355327213799,0.06537619666554972,6,0.052311852230450366
-13,0.1004343585421641,0.04479826080647361,6,0.03584607424439437
-12,0.09336819336749609,0.06510980108033729,8,0.04511879022830141
-11,0.12402305976138446,0.10742627457033979,8,0.07444261028176932
-10,0.08253907505422825,0.06711792869765454,12,0.03797554311702014
-9,0.09156291279941792,0.07591192727479028,12,0.042951216213867396
-8,0.10921510738822127,0.09600745979921078,13,0.05219024965391386
-7,0.11274080222042704,0.10188980796716318,13,0.0553879305432816
-6,0.12369035406468001,0.11859247858019016,13,0.06446760571648241
-5,0.1438193329210792,0.1323608618477402,14,0.06933485950333072
-4,0.10501138990124062,0.10480947501053481,15,0.05304091256209771
-3,0.13339997755247163,0.1260260370795482,16,0.06175275816897862
-2,0.1458210650744149,0.12469570352815822,16,0.061100894728797525
-1,0.11071434688261324,0.12095465630843624,17,0.05749819381088998
0,0.16164483578706326,0.1409682456852133,22,0.05890688068842308
1,0.16410837948999618,0.09008437503865462,22,0.03764386444974972
2,0.12704599098387084,0.10971012567797438,22,0.045844943676576044
3,0.14461107375100252,0.13691670545979973,20,0.06000639189003204
4,0.14836689867079253,0.18454144700636785,20,0.08087885515379305
5,0.10769224196280298,0.10514106050942339,19,0.047277186571129066
6,0.12038372371656195,0.1321252535893231,18,0.06103875301561503
7,0.1491161901762502,0.16335444654789752,18,0.07546590410211591
8,0.12868974337147338,0.12597466244173422,18,0.058197324872554544
9,0.13543676619883624,0.12621353452954742,16,0.061844631919478234
10,0.23461349929372466,0.20159493220520366,15,0.10202111184111408
11,0.15536124569674328,0.10041899453224092,12,0.05681739485444203
12,0.13192532747052607,0.08975392848426465,12,0.05078306567579229
13,0.16272987316673,0.16152431205009388,12,0.091390982941935
14,0.14055947428569193,0.10807473514997994,10,0.06698541483630559
15,0.05843428953085091,0.03692759071247396,8,0.025589514809558272
16,0.04897816781885918,0.03739219161167808,8,0.02591146680700342
17,0.08300816488917913,0.0820166689340578,8,0.05683465191813222
18,0.06427983549656342,0.07198572232674401,8,0.04988356055773548
19,0.06457119138212869,0.07652753028867082,8,0.053030872902286474
20,0.09808716256520705,0.1036517686434206,8,0.071827011119947
