rel_event,mean,std,n,ci95
-20,0.1123024150729179,0.08806907473413628,2,0.12205751031637188
-19,0.09534451365470882,0.03041004522723096,3,0.03441220568410056
-18,0.06410567959149677,0.035366620750308615,3,0.04002109890061544
-17,0.06684559521575763,0.037317509217201505,3,0.04222873702439375
-16,0.06450294641156987,0.0417997343038924,3,0.047300852190717946
-15,0.05148107744753353,0.03457277247446901,3,0.039122775009742074
-14,0.16882701683789486,0.1043938697565172,4,0.10230599236138685
-13,0.12532636746764175,0.14195478257181643,5,0.1244288530762193
-12,0.08341063465923067,0.04691149037338562,8,0.032508004299416644
-11,0.1666947808116674,0.15330874389379254,8,0.10623753937404255
-10,0.1575678983289334,0.1620533186970732,9,0.10587483488208782
-9,0.13908907936678988,0.10737426201983528,9,0.07015118451962572
-8,0.07949710185997756,0.06813307541565572,13,0.03703756169644271
-7,0.10040618718734805,0.0731292317853796,14,0.0383074342418417
-6,0.09695540343721704,0.08843752707650669,15,0.04475556375415151
-5,0.09323427317043143,0.09764641902102986,15,0.04941590607887132
-4,0.09531440470805937,0.1123194075864305,17,0.053393257136463694
-3,0.0802156610621346,0.04830676511720122,18,0.022316586911818388
-2,0.09869489773303605,0.12984139650898843,22,0.05425726634672521
-1,0.09341820012419838,0.07470768075749189,26,0.028716707965981313
0,0.1073000083145286,0.10949381606460513,28,0.04055707703689518
1,0.11333947587344378,0.08268269345421687,27,0.03118809187776874
2,0.11529075082104935,0.0671669201163186,26,0.025818132893401197
3,0.13580573730170722,0.09251521886773995,25,0.03626596579615406
4,0.11596876900643105,0.09591644048085696,25,0.03759924466849593
5,0.12751668104901906,0.13342673177116401,25,0.052303278854296295
6,0.1736979750078171,0.13286141339087681,25,0.05208167404922372
7,0.15699115892251328,0.14844807716438008,24,0.059391600250505674
8,0.09141221494329242,0.0790791196169205,22,0.033045060904152976
9,0.13147020456381137,0.1467998573403574,21,0.0627873361052846
10,0.1436959020276036,0.18540632802685478,18,0.08565335359082182
11,0.08765983501345744,0.0717253473151153,18,0.0331354199200592
12,0.13354643116084233,0.17487192114235486,18,0.0807867059022005
13,0.0993647584400605,0.08309772274700802,16,0.04071788414603393
14,0.10998821654357012,0.12170559455079229,16,0.05963574132988822
15,0.13851918818961292,0.15119187889526678,14,0.07919914946841886
16,0.10756270377896722,0.08595464525963888,14,0.04502579667085662
17,0.15712360172931633,0.12776334730130823,14,0.06692653410644661
18,0.1853771712630987,0.11053819058928198,14,0.057903445227461776
19,0.16081206679033733,0.13886032148722277,12,0.07856762311059792
20,0.1548818048428405,0.13344769945093732,11,0.07886255077283234
