rel_event,mean,std,n,ci95
-20,0.09266465455293654,0.0814756405601955,5,0.07141654775475098
-19,0.11332158073782919,0.15163814886086188,5,0.13291669786336682
-18,0.08568142540752882,0.07483908907995439,5,0.06559935389832056
-17,0.10755062792450185,0.11952569346625971,5,0.1047688896541568
-16,0.14528802745044228,0.14641276563234684,5,0.12833644751724763
-15,0.1903289115677277,0.11214417397113288,6,0.08973402792602621
-14,0.15724748559296126,0.12732762420918114,6,0.10188331842795782
-13,0.10936921489025862,0.05657850260649554,7,0.04191394128577794
-12,0.15748049272224302,0.156738243926775,8,0.10861406164885591
-11,0.16145376837812364,0.16471385811923078,8,0.11414088031087681
-10,0.10771303216461088,0.11643210679674122,8,0.08068333361853579
-9,0.10246744277802376,0.06132863969835205,11,0.036242910008487665
-8,0.09927573877697184,0.06522125922842344,12,0.036902401340968304
-7,0.09600622664826608,0.0697124165178581,12,0.0394435127935958
-6,0.07784304139204316,0.11086613715945617,12,0.06272842225036547
-5,0.10351915184694983,0.11746143847788144,13,0.06385276531312695
-4,0.08790181510682614,0.05570131202415853,14,0.02917813158234701
-3,0.08885334178921762,0.06353956470071007,16,0.031134386703347932
-2,0.13122970494441683,0.1008908525445612,16,0.04943651774683499
-1,0.1046688699861988,0.06591805825634019,16,0.03229984854560669
0,0.14847588376142082,0.08153884421202535,16,0.03995403366389242
1,0.17699268038074173,0.14700145798101283,15,0.07439300195414647
2,0.21632386216272906,0.24962645053216737,12,0.1412394604433657
3,0.09918045117096463,0.04228745812453938,11,0.024990290781495252
4,0.19205402904613447,0.1683772613769322,11,0.09950460276919754
5,0.20481014658104285,0.15488444214824146,11,0.09153085615633454
6,0.1262733076106418,0.08740785575853102,11,0.05165474182817126
7,0.12467807689681645,0.12039292688235202,10,0.07462030917198
8,0.087277087313123,0.08975149964518382,10,0.0556285558097367
9,0.11992612639442084,0.1015246999325729,10,0.0629256609482064
10,0.11208741785958405,0.08003451212698685,10,0.04960590454936257
11,0.13581424779258663,0.13699622471501885,10,0.08491113978496741
12,0.1428219547702206,0.17011711790156575,9,0.11114318369568961
13,0.07271711102553771,0.056819088444601144,7,0.04209216976882355
14,0.07139931166810644,0.08534398206016591,7,0.06322370667960392
15,0.09925163982968242,0.10335598676622879,7,0.0765671864980748
16,0.19691102392971516,0.1570736368086283,7,0.11636177854563125
17,0.16371256609757737,0.09190608593712939,6,0.07354018483543359
18,0.1896689638495445,0.14043215770309347,5,0.12309421353362639
19,0.14986977912485594,0.12979861348728505,4,0.12720264121753935
20,0.050306945728758934,0.03385889073651667,3,0.03831494177513245
