rel_event,mean,std,n,ci95
-20,0.07340143551118668,0.03727791478851982,8,0.025832277008747517
-19,0.06983687830242237,0.03948228302281279,11,0.023332538232767864
-18,0.10065902712253418,0.07467719905559839,13,0.0405949878302971
-17,0.11589432222535828,0.09475926587124196,16,0.04643204027690856
-16,0.09955721843595564,0.08255237541723134,19,0.03712007502664041
-15,0.09343977123498912,0.06509216039879039,25,0.025516126876325828
-14,0.08869465140742246,0.06472496380661046,32,0.022426055801656974
-13,0.09329558355319827,0.06134305315038468,36,0.020038730695792328
-12,0.09792500149267602,0.08125207657910173,39,0.025501060230264595
-11,0.08731380397165633,0.07077025422117099,42,0.021403371115831297
-10,0.10342178684051914,0.09085602895685412,46,0.026256141650214518
-9,0.09082622257992622,0.05784161202204732,50,0.016032876869455988
-8,0.09211199715698379,0.06036057392908667,53,0.016250678451325128
-7,0.09804384450048755,0.08708476914467164,54,0.023227442644118208
-6,0.08747461716772921,0.063910705445242,58,0.016448098036983817
-5,0.10169384568448986,0.09101601843589473,62,0.022655729964804208
-4,0.09962670578718626,0.0803784415053439,67,0.019246787492389946
-3,0.11362436467079792,0.11914891493914512,69,0.02811393378761776
-2,0.12855299815378135,0.10896156398943524,71,0.02534546277579241
-1,0.16702454543532164,0.15546366037225792,73,0.035663464508266234
0,0.17113861404614494,0.1512912933861881,73,0.0347063208158634
1,0.15567808641018724,0.14297760383101832,73,0.03279915504044307
2,0.13237085972509494,0.12675692346371173,67,0.030352212899437684
3,0.11706932043307457,0.09620045588701304,64,0.023569111692318193
4,0.12153657871268445,0.10660779554133672,62,0.026536839003001807
5,0.13625634554773566,0.14139610547221487,60,0.03577815109854841
6,0.11232200782059834,0.11167773863330022,57,0.028992472563197168
7,0.11576007165120174,0.10208784988280996,53,0.02748477547913529
8,0.1135275653453872,0.10222629503745195,51,0.028056507220963405
9,0.1069497679341204,0.09686725419934154,49,0.02712283117581563
10,0.12795970424388842,0.128718496770078,45,0.037608912341958914
11,0.1312471377729837,0.12736498897857326,42,0.03851957515586639
12,0.09269433842334696,0.08239034980375985,38,0.02619634007994807
13,0.113039360129954,0.12841816933636047,37,0.04137916130139087
14,0.11499897461158755,0.13580595624344416,33,0.04633593375425442
15,0.13885463096667078,0.12497585494304037,30,0.044722035331920526
16,0.17992031774162473,0.14777577377690213,29,0.05378489368031961
17,0.15096909811513287,0.14613587798700647,27,0.055122771149452854
18,0.135452000851122,0.1663256589699894,24,0.06654412261607819
19,0.0980121456086635,0.09642300972577147,18,0.04454515783914617
20,0.10041510811648686,0.07941573455110323,13,0.04317088506809032
