rel_event,mean,std,n,ci95
-20,0.14331198831160477,0.09355339702711259,26,0.03596076808185058
-19,0.1285595758336371,0.0938754357899642,29,0.03416717235924962
-18,0.1420581237102548,0.10211353404344703,30,0.036540858867816196
-17,0.1200866348886241,0.09554566359624979,30,0.03419057661266457
-16,0.13261328686494375,0.10615615531298507,30,0.037987492310189955
-15,0.15479584392009957,0.12867456490046197,31,0.0452968428205382
-14,0.14936863665934647,0.10746409993916155,34,0.036122684542631574
-13,0.13846968209896326,0.10460923488916543,39,0.032831731961378945
-12,0.129932633198967,0.10458771483090608,44,0.030903694874482558
-11,0.12077443332124785,0.1128334661409375,52,0.030668485446483883
-10,0.11156890685756306,0.12430232023307146,54,0.033154190360750804
-9,0.10377121458256265,0.09166155997602524,59,0.02338930459728111
-8,0.11831749181766976,0.11847897281324998,61,0.029732568912659352
-7,0.14134767982694835,0.13048563620787476,63,0.03222170402006097
-6,0.13864169368106452,0.1174977058465159,63,0.029014506200446766
-5,0.1360308524090214,0.1395632475508387,64,0.03419299564995548
-4,0.11583620676985723,0.10395036233756373,65,0.025271172981863866
-3,0.11920367544875118,0.12428248988715886,65,0.030214077468589878
-2,0.1459294442928382,0.12253909317776085,67,0.029342244533887007
-1,0.18748018386827753,0.12832251606543596,69,0.030278502510633666
0,0.18989150161051174,0.11491312395279024,73,0.026361145156438413
1,0.16997111372757648,0.129768232721403,69,0.030619628423213512
2,0.14794170037628362,0.148602462844263,65,0.036126459394854114
3,0.13422690246564645,0.14446252360023273,60,0.036554061939580086
4,0.12059274500435481,0.12065294321374313,56,0.03160093833482032
5,0.12209809620610687,0.12047012679167446,55,0.03183860962223949
6,0.1249569746734643,0.12511111434770383,54,0.03336991371964626
7,0.12894378159231,0.1324780265360161,52,0.036007937784379024
8,0.09695868059740553,0.09860304834050268,48,0.02789496328613038
9,0.13121731741717307,0.13308540280581052,41,0.040737518096942
10,0.15776441630756327,0.14936757637661618,37,0.048129521453439766
11,0.13735404528145273,0.11797791218794652,35,0.03908613750425508
12,0.14400659327262208,0.11890834340151303,35,0.03939438980061524
13,0.13079982426678455,0.1157156830906271,31,0.04073497441302423
14,0.10026472560795284,0.10023564392119755,28,0.03712780208478766
15,0.05894421696818119,0.0454367939565562,24,0.018178503587784396
16,0.07168043752123286,0.06803697670088484,24,0.027220459837936594
17,0.08879161236362283,0.08902850935265673,23,0.03638490582560628
18,0.08159683709329159,0.08547526456665142,22,0.035717839767139
19,0.15905998331727456,0.1212417869370994,20,0.05313655595176046
20,0.12382195296916448,0.10287171711865081,17,0.0489021101714683
