rel_event,mean,std,n,ci95
-20,0.06521209143102165,0.008947957697147063,2,0.012401236668229182
-19,0.13142981380224225,0.12444943357861833,2,0.17247811526060106
-18,0.11855878494679924,0.12113544561145123,3,0.13707766097906623
-17,0.08130087424069637,0.059245998658058546,3,0.06704315881633109
-16,0.0682830102741718,0.01978817193190157,3,0.02239242452764178
-15,0.06949438061565158,0.035390254538731805,4,0.03468244944795717
-14,0.07105631257096924,0.039126523915163657,6,0.03130773954031167
-13,0.09707842974199185,0.08267470794292281,9,0.054014142522709564
-12,0.0522036076523363,0.03415928723844502,10,0.02117214558059626
-11,0.0611840210516344,0.0480986450361656,11,0.028424482788956817
-10,0.10602920968085525,0.07065702438155566,14,0.037012412808659995
-9,0.10088981656978524,0.07972316768374728,18,0.03683022442474196
-8,0.11327047071055221,0.07160830549369275,23,0.02926547316880921
-7,0.09617461750669208,0.06157552415282633,29,0.02241120405073709
-6,0.0867248656530235,0.0630657048767815,37,0.020321158510265166
-5,0.09587606637860117,0.08666819329701371,46,0.02504591479399999
-4,0.08482661072099414,0.059093193310839814,57,0.015341085938011359
-3,0.08532608234538477,0.06013412639715542,65,0.014619091998553171
-2,0.1015603594427955,0.07486782147586377,69,0.017665532051808066
-1,0.14623819476544433,0.11212122002206985,71,0.026080427853635946
0,0.199560979023984,0.11681006086697854,73,0.026796303714725172
1,0.16323535778393888,0.13054152525407883,73,0.029946310550041277
2,0.12211082391249496,0.11568093220555448,73,0.02653728086754957
3,0.1286727367067368,0.11351538632399681,71,0.02640472376877332
4,0.12048255229814786,0.10811568010470407,71,0.02514870239783771
5,0.135690372553654,0.11466172087650546,70,0.026861205960674348
6,0.1264084070754636,0.11432641680683887,70,0.026782656017363564
7,0.12942167196382318,0.11934462570399783,69,0.02816011297009209
8,0.1189878947560244,0.10833109103073425,67,0.025940108427564765
9,0.1175131978833991,0.11947874407127787,66,0.028825360826220538
10,0.13858801985836836,0.15198441394324055,66,0.03666765671107139
11,0.12727188167627898,0.12312945304998842,64,0.03016671599724716
12,0.1415093436028014,0.1398733865820335,61,0.03510154592707828
13,0.15263670936978435,0.1276773631094501,57,0.03314610854582904
14,0.15782693826847452,0.13760725475232416,55,0.036367718553360816
15,0.16017413991591276,0.1508655988130039,53,0.04061704811748534
16,0.1594562529376251,0.15091322880674565,51,0.04141887458803182
17,0.1319333789299945,0.147019806828679,49,0.04116554591203012
18,0.11488626938839641,0.10069107721360566,46,0.029098335207766904
19,0.12218709929147731,0.10414412543272296,40,0.03227459884677999
20,0.12888025889611418,0.11316841691869846,34,0.038040117833373716
