adaptive_total_flops,call_nondominated,family,flop_nondominated,gate_flops_per_decision,matched_raw_mse,mean_calls,operating_point,passed,positive_outer_fold_fraction,raw_benefit,raw_ci_high,raw_ci_low,raw_mse,whitened_benefit,whitened_ci_low
71286947.5575188,False,compact11_control,True,4356,0.003052271422106365,1.312750626566416,b1.25,False,1.0,1.7800529108023595e-05,2.2207324881717902e-05,1.333404960167259e-05,0.0030344708929983416,-0.0008176734280690599,-0.0009674536559989844
71349346.55827068,False,compact11_control,False,4356,0.0030112993426837306,1.5445488721804512,b1.50,False,1.0,1.3913144188824245e-05,1.829288075463236e-05,9.397693629625906e-06,0.002997386198494906,-0.0009063130974502582,-0.0011158075527407832
71467219.14661653,True,compact11_control,True,4356,0.002940541297992008,1.9825501253132831,b2.00,False,1.0,4.8077671651793806e-06,7.669199259889817e-06,2.0041839535249503e-06,0.0029357335308268285,-0.0008445905707128134,-0.0010290156422797052
71604715.25263157,True,compact11_control,True,4356,0.0029063876093206823,2.4947994987468674,b2.50,False,1.0,1.6764659622345962e-05,1.893154259675354e-05,1.4583969201809206e-05,0.002889622949698336,-2.3055309212336036e-05,-0.00010025029239232037
71270903.3680451,True,distilled_rank_linear,True,8196,0.00306426263988194,1.2356203007518798,b1.25,True,1.0,2.362972812998146e-05,2.961446751786818e-05,1.7841293536338913e-05,0.0030406329117519584,0.00027072510470620744,5.547565071040753e-05
71343425.7556391,True,distilled_rank_linear,True,8196,0.0030179668179757904,1.5015037593984961,b1.50,True,1.0,2.3132879250898216e-05,2.920327098209761e-05,1.736741696761402e-05,0.0029948339387248922,0.0001553899261176792,-9.136475465574416e-05
71484998.87293233,False,distilled_rank_linear,False,8196,0.002936943738219945,2.0215538847117793,b2.00,False,0.8333333333333334,4.414614871127372e-06,8.459369612712249e-06,2.934529031089665e-07,0.0029325291233488174,-0.0006370364388905634,-0.0008062495747405392
71625720.3274436,False,distilled_rank_linear,False,8196,0.0029033682148491193,2.5408521303258143,b2.50,False,1.0,1.046964725833106e-05,1.3402608466005636e-05,7.502144322542994e-06,0.0028928985675907883,-0.0003383210965617732,-0.00048754522326261584
71291392.5473684,True,full_linear,True,8196,0.0030514284788483123,1.3106829573934837,b1.25,True,1.0,2.4122735178531358e-05,2.9864270976449135e-05,1.836161166351928e-05,0.003027305743669781,0.00032637308397720873,7.894404043517463e-05
71368360.05037594,True,full_linear,True,8196,0.0030049386203167875,1.592888471177945,b1.50,True,1.0,2.3281443809035976e-05,2.8867114195961213e-05,1.7647667021454274e-05,0.0029816571765077515,0.00010273726345402281,-0.0001412395054734279
