batch_size,maximum_seconds,median_seconds,minimum_seconds,path,repetitions,rows
256,0.23679495800752193,0.22665708299609832,0.2249148749979213,fixed_d1,7,3420
256,0.279068333999021,0.24002391600515693,0.2333955419890117,fixed_d2,7,3420
256,0.23646575000020675,0.23149783301050775,0.23036149999825284,fixed_d3,7,3420
256,0.24549800000386313,0.24092945898883045,0.2327073750202544,fixed_d4,7,3420
256,0.27637612499529496,0.2589906250068452,0.2561851250065956,matched_transition_independent_mixture,7,3420
256,0.34659529200871475,0.3286206249904353,0.30928666700492613,adaptive_dense_all_exits,7,3420
256,0.38212225001188926,0.35144954099087045,0.3224397919839248,adaptive_realistic_sparse,7,3420
1024,0.2296222499862779,0.22661741700721905,0.2186657499987632,fixed_d1,7,3420
1024,0.22690491698449478,0.22541929100407287,0.22465320798801258,fixed_d2,7,3420
1024,0.24454820901155472,0.2266609159996733,0.22461533299065195,fixed_d3,7,3420
1024,0.2466895840188954,0.23719424998853356,0.22795591698377393,fixed_d4,7,3420
1024,0.24363824998727068,0.23857091699028388,0.2351389579998795,matched_transition_independent_mixture,7,3420
1024,0.2714755419874564,0.25828429200919345,0.2567302500247024,adaptive_dense_all_exits,7,3420
1024,0.3802734169876203,0.2752463329816237,0.26254033399163745,adaptive_realistic_sparse,7,3420
