candidate,ci_high,ci_low,critic_variant,depth,family,gain_vs_d1,raw_mse
v3_repair__full,0.0,0.0,full,1,v3_repair,0.0,0.003120224690064788
v3_repair__full,1.101688564236989e-05,4.4674342660114335e-06,full,2,v3_repair,7.942042037868583e-06,0.0031122826039791107
v3_repair__full,1.808498251321317e-06,-7.450923417161075e-06,full,3,v3_repair,-2.9529675388070324e-06,0.00312317768111825
v3_repair__full,-2.7051916654990667e-05,-4.080636019653709e-05,full,4,v3_repair,-3.383394433332801e-05,0.00315405847504735
v3_repair__compact,0.0,0.0,compact,1,v3_repair,0.0,0.003120224690064788
v3_repair__compact,1.101688564236989e-05,4.4674342660114335e-06,compact,2,v3_repair,7.942042037868583e-06,0.0031122826039791107
v3_repair__compact,1.808498251321317e-06,-7.450923417161075e-06,compact,3,v3_repair,-2.9529675388070324e-06,0.00312317768111825
v3_repair__compact,-2.7051916654990667e-05,-4.080636019653709e-05,compact,4,v3_repair,-3.383394433332801e-05,0.00315405847504735
stagewise__full,0.0,0.0,full,1,stagewise,0.0,0.003120224690064788
stagewise__full,6.157362748463972e-05,3.534187384352287e-05,full,2,stagewise,4.769382788785115e-05,0.0030725307296961546
stagewise__full,7.850035134626916e-05,4.626390604914234e-05,full,3,stagewise,6.228807310583677e-05,0.0030579364392906427
stagewise__full,9.02892957126363e-05,5.298089719808399e-05,full,4,stagewise,7.129271949010021e-05,0.003048931946977973
stagewise__compact,0.0,0.0,compact,1,stagewise,0.0,0.003120224690064788
stagewise__compact,6.157362748463972e-05,3.534187384352287e-05,compact,2,stagewise,4.769382788785115e-05,0.0030725307296961546
stagewise__compact,7.850035134626916e-05,4.626390604914234e-05,compact,3,stagewise,6.228807310583677e-05,0.0030579364392906427
stagewise__compact,9.02892957126363e-05,5.298089719808399e-05,compact,4,stagewise,7.129271949010021e-05,0.003048931946977973
contractive__full,0.0,0.0,full,1,contractive,0.0,0.003120224690064788
contractive__full,8.682676303410095e-05,6.428191615069275e-05,full,2,contractive,7.555483496521207e-05,0.0030446697492152452
contractive__full,6.105091793952148e-05,3.0580460885463056e-05,full,3,contractive,4.525462408626818e-05,0.0030749698635190725
contractive__full,3.311633728689297e-05,-6.455608504700843e-06,full,4,contractive,1.3085106818602399e-05,0.0031071396078914404
contractive__compact,0.0,0.0,compact,1,contractive,0.0,0.003120224690064788
contractive__compact,8.682676303410095e-05,6.428191615069275e-05,compact,2,contractive,7.555483496521207e-05,0.0030446697492152452
contractive__compact,6.105091793952148e-05,3.0580460885463056e-05,compact,3,contractive,4.525462408626818e-05,0.0030749698635190725
contractive__compact,3.311633728689297e-05,-6.455608504700843e-06,compact,4,contractive,1.3085106818602399e-05,0.0031071396078914404
verifier_v1__full,0.0,0.0,full,1,verifier_v1,0.0,0.003120224690064788
verifier_v1__full,-9.060518327384299e-06,-2.3230770049831286e-05,full,2,verifier_v1,-1.5933314745853022e-05,0.003136157989501953
verifier_v1__full,-6.152739434790484e-05,-8.710007747382101e-05,full,4,verifier_v1,-7.41052056840279e-05,0.003194329794496298
verifier_v1__compact,0.0,0.0,compact,1,verifier_v1,0.0,0.003120224690064788
verifier_v1__compact,-9.060518327384299e-06,-2.3230770049831286e-05,compact,2,verifier_v1,-1.5933314745853022e-05,0.003136157989501953
verifier_v1__compact,-6.152739434790484e-05,-8.710007747382101e-05,compact,4,verifier_v1,-7.41052056840279e-05,0.003194329794496298
