candidate,depth,mean_predicted_gain,mean_realized_gain,n,ordered,positive_gain_rate,quantile,score_max,score_min,spearman
v3_repair__full,1,-3.6498042897845156e-05,-8.125546878421082e-06,2554,True,0.4263899765074393,0,-1.5888535200478046e-05,-0.00015449786031778746,0.21346117611425913
v3_repair__full,1,-7.162915556973801e-06,2.0672186628237845e-06,2554,True,0.5219263899765074,1,1.7609492544375972e-07,-1.588607984128864e-05,0.21346117611425913
v3_repair__full,1,6.602349912921236e-06,7.579657839889767e-06,2554,True,0.5689115113547377,2,1.3207797470978085e-05,1.7749686907422716e-07,0.21346117611425913
v3_repair__full,1,2.1420088835692232e-05,1.345412139970513e-05,2553,True,0.6310223266745005,3,3.1426255013627166e-05,1.3223536241455678e-05,0.21346117611425913
v3_repair__full,1,6.0249185819609806e-05,3.578080676462833e-05,2553,True,0.6701919310614963,4,0.00044041769801722586,3.1450336796920355e-05,0.21346117611425913
v3_repair__full,2,-4.069648226184354e-05,-2.3315527078716745e-05,2554,True,0.2783868441660141,0,-2.390927751419914e-05,-0.00016709926552318718,0.1806681193370553
v3_repair__full,2,-1.692192865778907e-05,-1.627824398413295e-05,2554,True,0.307752545027408,1,-1.0861165826842848e-05,-2.390767712226005e-05,0.1806681193370553
v3_repair__full,2,-5.628368760562972e-06,-1.100319753881958e-05,2554,True,0.36844166014095536,2,-4.922652738366916e-07,-1.0854042188757562e-05,0.1806681193370553
v3_repair__full,2,5.57506034295618e-06,-8.312643350959641e-06,2553,True,0.40031335683509595,3,1.2547336194823188e-05,-4.853046208029132e-07,0.1806681193370553
v3_repair__full,2,2.7956167385950865e-05,2.3085431914807206e-07,2553,True,0.47238542890716806,4,0.00026238299401651344,1.255244221043156e-05,0.1806681193370553
v3_repair__full,3,-5.7151011457163034e-05,-4.6067066023347953e-05,2554,True,0.11707126076742365,0,-3.8293453130567906e-05,-0.00019294299001493265,0.206881958566806
v3_repair__full,3,-2.9494154460156145e-05,-3.4209323375826426e-05,2554,True,0.1515270164447925,1,-2.1675908943421585e-05,-3.8288825614945154e-05,0.206881958566806
v3_repair__full,3,-1.4850445127028133e-05,-2.8920759751039178e-05,2554,True,0.1898981989036805,2,-7.973255430727662e-06,-2.167375165845688e-05,0.206881958566806
v3_repair__full,3,-5.051151357853395e-07,-2.6472248199012436e-05,2553,True,0.2256169212690952,3,8.424263841792963e-06,-7.970919361854597e-06,0.206881958566806
v3_repair__full,3,2.9099950806543887e-05,-1.602505486570897e-05,2553,True,0.3188405797101449,4,0.0003578656057475066,8.425003435617515e-06,0.206881958566806
v3_repair__compact,1,-4.613911620201704e-08,1.9947962877183815e-06,2554,True,0.5219263899765074,0,3.210478586793071e-06,-1.4568564128891455e-05,0.08469256982479285
v3_repair__compact,1,4.545363895579984e-06,5.924941132923758e-06,2554,True,0.5501174628034455,1,5.742125558169046e-06,3.2114659474336384e-06,0.08469256982479285
v3_repair__compact,1,6.760901190462971e-06,6.6938757517731685e-06,2554,True,0.5599060297572436,2,7.776870484350537e-06,5.742770783342195e-06,0.08469256982479285
v3_repair__compact,1,9.139073794779883e-06,1.0147351775514643e-05,2553,True,0.5953779866823345,3,1.0884172465042288e-05,7.778204828498515e-06,0.08469256982479285
