scope,mean_budget,mean_calls,strategy,total_calls,raw_mean_loss,whitened_mean_loss,mean_gain_vs_depth0,mean_advantage_vs_uniform,advantage_vs_uniform_ci_low,advantage_vs_uniform_ci_high,depth_histogram,diagnostic_only
test,0,0.0,depth0,0,0.0041305466356827015,0.33033727740544944,,,,,,
test,1,1.0,uniform,3420,0.003022886595109007,0.1114017995934318,0.0011076600405736943,0.0,0.0,0.0,"{""0"": 0, ""1"": 3420, ""2"": 0, ""4"": 0}",False
test,1,1.0,oracle,3420,0.0029779145433882505,0.12880986972830477,0.0011526320922944503,4.497205172075605e-05,3.73479582276277e-05,5.347135035374711e-05,"{""0"": 289, ""1"": 2870, ""2"": 247, ""4"": 14}",True
test,1,1.0,random,3420,0.003657499013298614,0.23412944150119777,0.0004730476223840869,-0.0006346124181896073,-0.0006710123604893463,-0.0006012498082847425,"{""0"": 1928, ""1"": 506, ""2"": 515, ""4"": 471}",False
test,1,1.0,permuted,3420,0.003118685583368077,0.12949164737977398,0.0010118610523146244,-9.57989882590698e-05,-0.00011033962693312579,-8.095411409265206e-05,"{""0"": 289, ""1"": 2870, ""2"": 247, ""4"": 14}",False
test,2,2.0,uniform,6840,0.0030348282377367624,0.11156792500835129,0.0010957183979459389,0.0,0.0,0.0,"{""0"": 0, ""1"": 0, ""2"": 3420, ""4"": 0}",False
test,2,2.0,oracle,6840,0.002946591467728089,0.12303475221979573,0.001183955167954612,8.823677000867278e-05,8.075760664281729e-05,9.610007743046321e-05,"{""0"": 184, ""1"": 1534, ""2"": 751, ""4"": 951}",True
test,2,2.0,random,6840,0.0032993478464372456,0.16146606734938534,0.0008311987892454556,-0.0002645196087004836,-0.00029172017469917855,-0.00023859648660941527,"{""0"": 752, ""1"": 768, ""2"": 764, ""4"": 1136}",False
test,2,2.0,permuted,6840,0.003116257315868745,0.12432919437574713,0.0010142893198139564,-8.142907813198247e-05,-0.0001008390703679848,-6.534939865351427e-05,"{""0"": 184, ""1"": 1534, ""2"": 751, ""4"": 951}",False
test,1,1.0,adaptive,3420,0.003022886595109007,0.11140179960585367,0.0011076600405736943,,,,"{""0"": 0, ""1"": 3420, ""2"": 0, ""4"": 0}",False
