policy,depth,count,fraction,total_calls
adaptive,1,1532,0.447953216374269,6840
adaptive,2,1122,0.3280701754385965,6840
adaptive,4,766,0.2239766081871345,6840
uniform_d2,1,0,0.0,6840
uniform_d2,2,3420,1.0,6840
uniform_d2,4,0,0.0,6840
fixed_d1,1,3420,1.0,3420
fixed_d1,2,0,0.0,3420
fixed_d1,4,0,0.0,3420
random,1,1736,0.5076023391812865,6840
random,2,816,0.23859649122807017,6840
random,4,868,0.25380116959064325,6840
permutation,1,1532,0.447953216374269,6840
permutation,2,1122,0.3280701754385965,6840
permutation,4,766,0.2239766081871345,6840
oracle,1,1766,0.5163742690058479,6840
oracle,2,771,0.22543859649122808,6840
oracle,4,883,0.25818713450292397,6840
