scope,benefit,predicted_score_quantile,n,mean_predicted_benefit,mean_actual_benefit
calibration,b12,0,684,-7.109287544632348e-05,-4.815798914803677e-05
calibration,b12,1,684,-2.6223687686488984e-05,-2.015360445612993e-05
calibration,b12,2,684,-7.571572466761984e-06,-3.7578127217491093e-06
calibration,b12,3,684,5.8658009538168805e-06,7.638533549189566e-06
calibration,b12,4,684,2.6556663129213783e-05,1.343500497096959e-05
calibration,b14,0,684,-0.00016871846969132562,-0.00014379322063096266
calibration,b14,1,684,-8.652967630511037e-05,-6.488329303505231e-05
calibration,b14,2,684,-5.192921210606811e-05,-6.0080212485154716e-05
calibration,b14,3,684,-2.612485583041766e-05,-2.9642472879933773e-05
calibration,b14,4,684,7.303703677803003e-06,-5.628937407296526e-06
test_descriptive,b12,0,684,-7.199053273333713e-05,-6.1955599724712e-05
test_descriptive,b12,1,684,-2.896557779493235e-05,-2.3289987993101933e-05
test_descriptive,b12,2,684,-1.0970347706495418e-05,-7.814974020238134e-06
test_descriptive,b12,3,684,3.851439454467554e-06,3.5844230662042175e-06
test_descriptive,b12,4,684,2.6117097143474984e-05,1.7442719234211793e-05
test_descriptive,b14,0,684,-0.00017294991233725076,-0.00016011504426848185
test_descriptive,b14,1,684,-9.153993414952224e-05,-8.19588414294128e-05
test_descriptive,b14,2,684,-5.789559644501181e-05,-5.1340699120960105e-05
test_descriptive,b14,3,684,-3.0360996882395697e-05,-4.660612649128774e-05
test_descriptive,b14,4,684,5.217079308770315e-06,-9.325697730146842e-06
