policy,depth,count,fraction,total_calls
adaptive,1,18,0.47368421052631576,76
adaptive,2,11,0.2894736842105263,76
adaptive,4,9,0.23684210526315788,76
uniform_d2,1,0,0.0,76
uniform_d2,2,38,1.0,76
uniform_d2,4,0,0.0,76
fixed_d1,1,38,1.0,38
fixed_d1,2,0,0.0,38
fixed_d1,4,0,0.0,38
random,1,22,0.5789473684210527,76
random,2,5,0.13157894736842105,76
random,4,11,0.2894736842105263,76
permutation,1,18,0.47368421052631576,76
permutation,2,11,0.2894736842105263,76
permutation,4,9,0.23684210526315788,76
oracle,1,18,0.47368421052631576,76
oracle,2,11,0.2894736842105263,76
oracle,4,9,0.23684210526315788,76
