scope,benefit,predicted_score_quantile,n,mean_predicted_benefit,mean_actual_benefit
calibration,b12,0,8,-5.346612493391202e-05,6.911809545739135e-05
calibration,b12,1,8,-4.884795056162876e-05,-5.3410027752696305e-05
calibration,b12,2,8,-4.58206411256072e-05,-6.278065754148062e-05
calibration,b12,3,7,-4.1778124801674094e-05,-8.13674325095037e-05
calibration,b12,4,7,-3.838163394409315e-05,2.5192137103840937e-05
calibration,b14,0,8,-0.0001234224504103508,-1.6530504348319353e-06
calibration,b14,1,8,-0.00011620838057530068,-6.65911103254608e-05
calibration,b14,2,8,-0.00011150097024784303,-0.00015084972499867795
calibration,b14,3,7,-0.00010776967881977028,-0.00021629154425626697
calibration,b14,4,7,-0.00010025068544035233,-4.6426196712093757e-05
test_descriptive,b12,0,8,-4.7848968633240965e-05,9.037965142229173e-05
test_descriptive,b12,1,8,-3.953603672709132e-05,1.7094893085743403e-05
test_descriptive,b12,2,8,-3.358468395447386e-05,-1.3965552003206822e-05
test_descriptive,b12,3,7,-3.0168053216498977e-05,7.03491387694993e-05
test_descriptive,b12,4,7,-2.7617297956054184e-05,-1.2275748850858019e-05
test_descriptive,b14,0,8,-0.00011088224846652857,5.81692972253053e-06
test_descriptive,b14,1,8,-0.00010181882054629755,0.00010666072633155996
test_descriptive,b14,2,8,-9.788835197277045e-05,4.233667824384368e-05
test_descriptive,b14,3,7,-9.366294409122727e-05,-5.1970394318324194e-05
test_descriptive,b14,4,7,-8.865830937265642e-05,-8.177207960649517e-05
