mean_calls,nondominated,operating_point,policy,raw_mse
0.0,True,fixed,fixed_d0,0.004202733747661114
1.0,False,fixed,fixed_d1,0.017068058252334595
2.0,False,fixed,fixed_d2,0.01601628214120865
4.0,False,fixed,fixed_d4,0.009941945783793926
1.2385964912280703,False,1.25,adaptive,0.016986222937703133
1.2385964912280703,False,1.25,matched_mixture,0.016499582678079605
1.4926900584795322,False,1.50,adaptive,0.016742227599024773
1.4926900584795322,False,1.50,matched_mixture,0.01588359847664833
2.0,False,2.00,adaptive,0.01601628214120865
2.0,False,2.00,matched_mixture,0.014679624699056149
2.442105263157895,False,2.50,adaptive,0.013262114487588406
2.442105263157895,False,2.50,matched_mixture,0.013646690174937248
