bootstrap_samples,ci_high,ci_low,comparison,diagnostic_only,mean_benefit,metric,n,n_episodes,operating_point,seed
2000,-0.00039813618109648644,-0.0005854662575238869,adaptive_vs_matched_mixture,,-0.00048663873111077566,raw,3420,90,1.25,260913
2000,0.0001407263623836466,2.3062797440270406e-05,adaptive_vs_fixed_d1,,8.183592489283336e-05,raw,3420,90,1.25,260913
2000,-0.0001139257410377787,-0.0002202781173945214,adaptive_vs_random_histogram,,-0.00016568380303147155,raw,3420,90,1.25,260913
2000,-0.0001086169913716136,-0.00025251455236721936,adaptive_vs_permutation,,-0.00017859297845381917,raw,3420,90,1.25,260913
2000,0.0007927645753751841,0.00040329429643686145,oracle_advantage_vs_matched,True,0.0005890061080793453,raw,3420,90,1.25,260913
2000,-0.07519504371992229,-0.21993362373498612,adaptive_vs_matched_mixture,,-0.14487063975941025,whitened,3420,90,1.25,260913
2000,0.3427499913063466,0.2369918620234096,adaptive_vs_fixed_d1,,0.28932548383201256,whitened,3420,90,1.25,260913
2000,0.01820602808144927,-0.09402134223687507,adaptive_vs_random_histogram,,-0.03557835497458568,whitened,3420,90,1.25,260913
2000,0.02706940224581067,-0.1222983322735647,adaptive_vs_permutation,,-0.04473285826913125,whitened,3420,90,1.25,260913
2000,0.4054372935865555,0.1492572145253276,oracle_advantage_vs_matched,True,0.2717850370667879,whitened,3420,90,1.25,260913
2000,-0.0007199387148510099,-0.0010042917600469336,adaptive_vs_matched_mixture,,-0.0008586284064562523,raw,3420,90,1.50,260913
2000,0.0004200973356080007,0.000233716225334612,adaptive_vs_fixed_d1,,0.00032583098853148566,raw,3420,90,1.50,260913
2000,-0.00013374011163335648,-0.00028954360984015273,adaptive_vs_random_histogram,,-0.00020957398310042264,raw,3420,90,1.50,260913
2000,-0.00013989019412574582,-0.0003356143719195361,adaptive_vs_permutation,,-0.00023460056692666827,raw,3420,90,1.50,260913
2000,0.0013233571326154506,0.0007656777460721719,oracle_advantage_vs_matched,True,0.0010370322896646913,raw,3420,90,1.50,260913
2000,-0.15736368516025317,-0.3610103902460395,adaptive_vs_matched_mixture,,-0.25766006840701294,whitened,3420,90,1.50,260913
2000,0.7196397648439585,0.5605972286197214,adaptive_vs_fixed_d1,,0.6397995836483761,whitened,3420,90,1.50,260913
2000,0.03355596223662734,-0.11597369645265851,adaptive_vs_random_histogram,,-0.040049634110249116,whitened,3420,90,1.50,260913
2000,0.0520339121566952,-0.14966248360520495,adaptive_vs_permutation,,-0.04816587508426216,whitened,3420,90,1.50,260913
2000,0.6921928816500885,0.32363288239385346,oracle_advantage_vs_matched,True,0.5015912598953692,whitened,3420,90,1.50,260913
2000,-0.0011493750831588143,-0.0015328957736955094,adaptive_vs_matched_mixture,,-0.0013366571108113473,raw,3420,90,2.00,260913
2000,0.0011692337268229562,0.0009370310300088362,adaptive_vs_fixed_d1,,0.0010517756704497014,raw,3420,90,2.00,260913
2000,0.0,0.0,adaptive_vs_random_histogram,,0.0,raw,3420,90,2.00,260913
2000,0.0,0.0,adaptive_vs_permutation,,0.0,raw,3420,90,2.00,260913
2000,0.002009628876752345,0.0014158674191999418,oracle_advantage_vs_matched,True,0.00171079954359822,raw,3420,90,2.00,260913
2000,-0.3235054482975336,-0.571129196838855,adaptive_vs_matched_mixture,,-0.4453767698824456,whitened,3420,90,2.00,260913
2000,1.4199480838109295,1.3118996740574729,adaptive_vs_fixed_d1,,1.3642234320245008,whitened,3420,90,2.00,260913
2000,0.0,0.0,adaptive_vs_random_histogram,,0.0,whitened,3420,90,2.00,260913
2000,0.0,0.0,adaptive_vs_permutation,,0.0,whitened,3420,90,2.00,260913
2000,1.0863416001014494,0.6636367356731813,oracle_advantage_vs_matched,True,0.8729325236676229,whitened,3420,90,2.00,260913
2000,0.0006490870855584581,0.00012131095250826112,adaptive_vs_matched_mixture,,0.0003845757304429354,raw,3420,90,2.50,260913
2000,0.004027759690570906,0.003573854930776482,adaptive_vs_fixed_d1,,0.0038059428761092326,raw,3420,90,2.50,260913
2000,0.000638771800750496,9.28447738273494e-05,adaptive_vs_random_histogram,,0.00036589657194770826,raw,3420,90,2.50,260913
2000,0.0006654572229844664,3.4730093771855936e-05,adaptive_vs_permutation,,0.00035549510598498565,raw,3420,90,2.50,260913
2000,0.00232950663660913,0.0018258295614801332,oracle_advantage_vs_matched,True,0.002077847472133322,raw,3420,90,2.50,260913
2000,0.6082542490594454,0.2637878996559058,adaptive_vs_matched_mixture,,0.43450862799210155,whitened,3420,90,2.50,260913
2000,3.1988241094977052,2.8862126472767726,adaptive_vs_fixed_d1,,3.0387896013055813,whitened,3420,90,2.50,260913
2000,0.4073516919832365,0.08079914784441675,adaptive_vs_random_histogram,,0.24211751926404276,whitened,3420,90,2.50,260913
2000,0.4258716454482672,0.04531557983106783,adaptive_vs_permutation,,0.23973099742424078,whitened,3420,90,2.50,260913
2000,1.288346349657214,0.9055022966076418,oracle_advantage_vs_matched,True,1.0955394463852408,whitened,3420,90,2.50,260913
