dataset,stage,endpoint,decile,rows,predicted_gain_mean,observed_gain_mean,score_mean
cube_v5,1,raw,1,6080,-0.0002230638751872084,4.7671265092644335e-06,-0.9353837797810373
cube_v5,1,raw,2,6080,-0.00010249853443853808,1.0116566889914027e-05,-0.5960068559764247
cube_v5,1,raw,3,6080,-4.9919705878901345e-05,2.298594429980483e-05,-0.4621504917740822
cube_v5,1,raw,4,6080,-1.0832240230424607e-05,2.602114873434271e-05,-0.3612182068197351
cube_v5,1,raw,5,6080,2.383082291482459e-05,3.160431556300044e-05,-0.27441766967898923
cube_v5,1,raw,6,6080,5.6304168983212e-05,4.8124408782198286e-05,-0.20252497029539787
cube_v5,1,raw,7,6080,9.118010800906569e-05,4.742434675575581e-05,-0.12609828308616813
cube_v5,1,raw,8,6080,0.00013121206625008513,6.751443638558554e-05,-0.041093653773790914
cube_v5,1,raw,9,6080,0.00018427012009778696,7.27604783025693e-05,0.04077689896680807
cube_v5,1,raw,10,6080,0.0003061298423297771,0.00010760989078788556,0.16131537780165672
cube_v5,1,whitened,1,6080,-0.008278527426666462,-0.0021188114817756185,-1.1697712072220288
cube_v5,1,whitened,2,6080,-0.0030524761080823587,-4.2577280961475835e-05,-0.712443974927852
cube_v5,1,whitened,3,6080,-0.0005709059474646735,0.001650909857942431,-0.5078859706262224
cube_v5,1,whitened,4,6080,0.0014612216086185017,0.0023317309615767845,-0.35860038680073464
cube_v5,1,whitened,5,6080,0.0033228772516701328,0.003417276790659939,-0.23268888840745938
cube_v5,1,whitened,6,6080,0.005163987841438088,0.004474151696201358,-0.12676952237165287
cube_v5,1,whitened,7,6080,0.007031295579074014,0.005256152971844584,-0.047054292026319
cube_v5,1,whitened,8,6080,0.009174046666705914,0.006694750553894925,0.030578824279731825
cube_v5,1,whitened,9,6080,0.011996206919261855,0.00873332177427738,0.10439153434218544
cube_v5,1,whitened,10,6080,0.017859365209394497,0.013831011050513098,0.22344224934319132
cube_v5,2,raw,1,983,-5.6825445174519005e-05,6.198872776536696e-06,-0.6217980114998919
cube_v5,2,raw,2,983,-1.660980525686878e-05,1.440651081884879e-05,-0.3370714873105803
cube_v5,2,raw,3,983,1.8567649853028218e-06,2.0203398439572286e-05,-0.2058920008665669
cube_v5,2,raw,4,983,1.594869006790028e-05,2.098467125241392e-05,-0.143183287396072
cube_v5,2,raw,5,983,2.882975958782463e-05,1.925451578090544e-05,-0.07989308943674499
cube_v5,2,raw,6,983,4.16882904369826e-05,2.8191858419266952e-05,-0.020225649902318527
cube_v5,2,raw,7,983,5.5241233846869184e-05,2.7824272454932743e-05,0.02004298176673276
cube_v5,2,raw,8,982,7.169317501794692e-05,3.238752419080371e-05,0.06995332969424681
cube_v5,2,raw,9,982,9.202355246783698e-05,4.0648250449639456e-05,0.13286678757055714
cube_v5,2,raw,10,982,0.00014221070543598297,5.598276004006559e-05,0.12321990704099418
cube_v5,2,whitened,1,983,-0.0037700640209000443,-0.00016306327792993058,-0.8746202218205131
cube_v5,2,whitened,2,983,-0.0011980005703018791,0.0004982883162380443,-0.4695915937544977
cube_v5,2,whitened,3,983,9.786297986447553e-05,0.0010372432692615761,-0.28260447844362696
cube_v5,2,whitened,4,983,0.0010812944684449263,0.0011115352641533419,-0.14776522894356767
cube_v5,2,whitened,5,983,0.0019137408738325336,0.0015849078640914182,-0.052605263312799154
cube_v5,2,whitened,6,983,0.002705683163818584,0.002290692153882492,0.003749285351829878
cube_v5,2,whitened,7,983,0.0035414096826748374,0.0026518755944958104,0.06625037002903035
cube_v5,2,whitened,8,982,0.004529780680352997,0.003138955134054551,0.14636095439495478
cube_v5,2,whitened,9,982,0.005872054393156336,0.003333775234444385,0.21221587074021458
cube_v5,2,whitened,10,982,0.008714458960986401,0.004726125050681642,0.3370057188065499
cube_v5,3,raw,1,256,-3.2582756721319104e-05,8.668960794482537e-06,-0.5868770426604897
cube_v5,3,raw,2,256,-6.872468865012633e-06,8.191337995339606e-06,-0.3036104806815274
cube_v5,3,raw,3,256,4.421670747140376e-06,1.1194265493781163e-05,-0.2133044747170061
cube_v5,3,raw,4,256,1.336394352374354e-05,8.970417945116626e-06,-0.13837160682305694
cube_v5,3,raw,5,256,2.1255516042462575e-05,1.2408210269864965e-05,-0.058074967470020056
cube_v5,3,raw,6,256,2.8674899489733284e-05,1.537394942606056e-05,-0.013683894299902022
cube_v5,3,raw,7,256,3.706343177239061e-05,1.4012132766617322e-05,0.06842167035210878
cube_v5,3,raw,8,256,4.673558891926679e-05,2.653425326035135e-05,0.16237063833978027
cube_v5,3,raw,9,256,6.0002150905270565e-05,2.15648012161823e-05,0.2214115373790264
cube_v5,3,raw,10,256,9.565967031112511e-05,3.0256355363860486e-05,0.26895083812996745
cube_v5,3,whitened,1,256,-0.0021296777728471313,0.0004569802647095613,-0.7380839653778821
cube_v5,3,whitened,2,256,-0.0005290865782753073,0.0004914056332025794,-0.4128186770249158
cube_v5,3,whitened,3,256,0.0003423022305412881,0.0007640387282220097,-0.24947000638348982
cube_v5,3,whitened,4,256,0.0010897192011889438,0.0015751238541476034,-0.10530119435861707
cube_v5,3,whitened,5,256,0.0018033608438079742,0.001662501616646272,-0.007290702487807721
cube_v5,3,whitened,6,256,0.0023946544633566187,0.002014988474908455,0.06731154100270942
cube_v5,3,whitened,7,256,0.0030605533399493926,0.0018615225114606347,0.10983890690840781
cube_v5,3,whitened,8,256,0.003818905817526203,0.002074595341785435,0.1635580143192783
cube_v5,3,whitened,9,256,0.00492419692085678,0.0020281920746738516,0.2533841885160655
cube_v5,3,whitened,10,256,0.007282954805347152,0.003306922917124878,0.32610411243513227
pusht_pilot,1,raw,1,144,-0.012075260457557602,-0.0027691388694725417,-1.1178360027813878
pusht_pilot,1,raw,2,144,-0.004198189610509594,-0.0017138258218856763,-0.6967870714236413
pusht_pilot,1,raw,3,144,-0.0008785755371661032,-0.0007137369809710786,-0.539754406190437
pusht_pilot,1,raw,4,144,0.0011158834107961532,0.0007205228002434739,-0.45909500185070545
pusht_pilot,1,raw,5,144,0.003120029943963629,0.0005920797109753088,-0.34086764593065955
pusht_pilot,1,raw,6,144,0.005584969323453158,0.0034014875817986226,-0.26154147439479475
pusht_pilot,1,raw,7,144,0.008854786950741735,0.0021815836256676244,-0.12544634365034107
pusht_pilot,1,raw,8,144,0.012498616318094569,0.005521052479404683,-0.003624796664652103
pusht_pilot,1,raw,9,144,0.018611019820445336,0.0077049589228381475,0.2800754182951355
