dataset,endpoint,rounding,seed,depth_lower,depth_upper,number_upper,total_depth_units,target_flops,schedule_flops,schedule_minus_target_flops,analytic_mixture_loss,realized_seeded_loss
cube_v5,raw,floor,93710,1,2,15379,76179,4332936120435,4332935959040,-161395,0.003440309762642501,0.003440269108835468
cube_v5,raw,ceil,93710,1,2,15380,76180,4332936120435,4332936224000,103565,0.003440309762642501,0.003440268249133521
cube_v5,whitened,floor,93711,1,2,15379,76179,4332936120435,4332935959040,-161395,0.09937282203357548,0.09935769032824816
cube_v5,whitened,ceil,93711,1,2,15380,76180,4332936120435,4332936224000,103565,0.09937282203357548,0.09935754284088022
pusht_pilot,raw,floor,93810,1,2,947,2387,102905055196,102904464064,-591132,0.11131719081353657,0.11136482669745788
pusht_pilot,raw,ceil,93810,1,2,948,2388,102905055196,102905114496,59300,0.11131719081353657,0.11136139819347737
pusht_pilot,whitened,floor,93811,1,2,947,2387,102905055196,102904464064,-591132,0.2521497926972788,0.2519328909876151
pusht_pilot,whitened,ceil,93811,1,2,948,2388,102905055196,102905114496,59300,0.2521497926972788,0.25191728458825174
pusht_binary,raw,floor,93910,1,2,1106,5426,307585049440,307584892672,-156768,0.1213907177150648,0.12141179728062178
pusht_binary,raw,ceil,93910,1,2,1107,5427,307585049440,307585543104,493664,0.1213907177150648,0.12141168228447732
pusht_binary,whitened,floor,93911,1,2,1106,5426,307585049440,307584892672,-156768,0.29353569231628107,0.2934706322020055
pusht_binary,whitened,ceil,93911,1,2,1107,5427,307585049440,307585543104,493664,0.29353569231628107,0.2934715482459423
