dataset,endpoint,depth,total_counted_flops,counted_flops_per_transition,mean_loss
cube_v5,raw,1,4328861139200,71198374.0,0.0034514126430255795
cube_v5,whitened,1,4328861139200,71198374.0,0.10049158531392476
cube_v5,raw,2,4344970707200,71463334.0,0.003407519776724548
cube_v5,whitened,2,4344970707200,71463334.0,0.0960687936245074
cube_v5,raw,3,4361080275200,71728294.0,0.003393752140421614
cube_v5,whitened,3,4361080275200,71728294.0,0.0945996762024266
cube_v5,raw,4,4377189843200,71993254.0,0.003384029984181624
cube_v5,whitened,4,4377189843200,71993254.0,0.09339428360747928
pusht_pilot,raw,1,102288504960,71033684.0,0.11403868733501542
pusht_pilot,whitened,1,102288504960,71033684.0,0.25660625064910253
pusht_pilot,raw,2,103225127040,71684116.0,0.10990437096657553
pusht_pilot,whitened,2,103225127040,71684116.0,0.24983629635738175
pusht_pilot,raw,3,104161749120,72334548.0,0.109589588430458
pusht_pilot,whitened,3,104161749120,72334548.0,0.24918220136135258
pusht_pilot,raw,4,105098371200,72984980.0,0.11267068107799515
pusht_pilot,whitened,4,105098371200,72984980.0,0.25402303236808044
pusht_binary,raw,1,306865514880,71033684.0,0.12238226470130398
pusht_binary,whitened,1,306865514880,71033684.0,0.29528119508020967
pusht_binary,raw,2,309675381120,71684116.0,0.11851015826348786
pusht_binary,whitened,2,309675381120,71684116.0,0.2884648035392812
