dataset,stage,endpoint,rows,predicted_gain_mean,observed_gain_mean,calibration_slope,calibration_intercept,rmse,predicted_vs_observed_spearman,gate_score_vs_observed_spearman
cube_v5,1,raw,60800,4.0661277284967905e-05,4.389286630103209e-05,0.20681611055062352,3.548345908293452e-05,0.0003261157932168827,0.10606722954451231,0.11092668234158715
cube_v5,1,whitened,60800,0.004410709159394952,0.004422791689417341,0.6003592376638843,0.0017747817009258684,0.010737258225656226,0.37607100560790535,0.2958706099855061
cube_v5,2,raw,9827,3.7586041143612235e-05,2.660325748445246e-05,0.24277002662035324,1.7478493275464052e-05,0.00012189977504065223,0.11888794679007554,0.07435252026022529
cube_v5,2,whitened,9827,0.002347593830008332,0.0020205108435633256,0.4049875195026041,0.0010697646415486293,0.006119605907688753,0.23594126499784873,0.18336036870001707
cube_v5,3,raw,2560,2.6772164612480108e-05,1.5717468453165692e-05,0.26319351705979016,8.6712082895034e-06,8.794993312247213e-05,0.0863757007790681,0.07975888467924264
cube_v5,3,whitened,2560,0.0022057883271451913,0.001623627141688128,0.31054513290931013,0.0009386303124650185,0.005085779473167604,0.1764900760540124,0.1331616650160469
pusht_pilot,1,raw,1440,0.007234136742627033,0.004134316368439867,0.6129096730649151,-0.0002995560173905585,0.012379923710926876,0.4629749210591505,0.4236823714067506
pusht_pilot,1,whitened,1440,0.010402979503679003,0.006769954291720734,0.36808694539031456,0.002940753343253468,0.011321175035442875,0.33379603931779156,0.3805736065652037
pusht_pilot,2,raw,351,0.01893868433067767,0.008591049184732991,0.8121816667519655,-0.006790603021046125,0.019301245477156045,0.5134570984570984,0.3625111000111
pusht_pilot,2,whitened,351,0.01571684260490398,0.004770872006073524,0.4989480547430342,-0.0030710160383457565,0.01732013731030022,0.26790653790653784,0.32348179598179594
pusht_pilot,3,raw,309,0.014168647206104865,0.004337581750032967,0.7115292288226007,-0.005743824869986322,0.017731882509530388,0.5363713643074745,0.344454793562216
pusht_pilot,3,whitened,309,0.009412901224662923,-0.0010705583337930911,0.47695167406038264,-0.005560057330661098,0.01628400949902757,0.33520241111847743,0.37973570432073395
pusht_binary,1,raw,4320,0.006988815614832717,0.003872106437816117,0.5706676486766262,-0.00011618453613495974,0.01333227272555658,0.5013078299550043,0.45925925127132183
pusht_binary,1,whitened,4320,0.010694612340143857,0.006816391540928452,0.38993740834200247,0.002646162121790358,0.013140763252314966,0.33817547816631477,0.39578175197209214
