phase_decile,metric,left_n,right_n,left_mean,right_mean,left_median,right_median,left_trimmed_mean,right_trimmed_mean,p_superiority,cliffs_delta,delta_mean,delta_median,delta_trimmed_mean
0,excess,0,0,,,,,,,,,,,
1,excess,40,0,-0.11253303834237158,,-0.09890375658869743,,-0.10972738920827396,,,,,,
2,excess,80,0,-0.4514823390636593,,-0.45011216402053833,,-0.4460235342849046,,,,,,
3,excess,60,0,-0.15547699439727392,,-0.14886269718408585,,-0.14078389356533685,,,,,,
4,excess,0,0,,,,,,,,,,,
5,excess,17,0,-0.04337021231870441,,-0.03619511425495148,,-0.04171056325236956,,,,,,
6,excess,80,0,-0.2780818844272289,,-0.20240025222301483,,-0.24389383109519258,,,,,,
7,excess,80,0,-0.2541352745145559,,-0.17957653850317,,-0.2207372859120369,,,,,,
8,excess,11,0,-0.011966992973942648,,-0.010851755738258362,,-0.011034032381657097,,,,,,
9,excess,3,0,-0.05889013782143593,,-0.060369689017534256,,-0.05889013782143593,,,,,,
