episode_ordinal,phase_decile,left_row_id,right_row_id,left_value,right_value,delta,left_position,right_position
10,1,383,382,-0.0455820374190807,-0.1048912405967712,0.0593092031776905,0.15,0.125
10,1,384,381,-0.2335703670978546,-0.1465121358633041,-0.08705823123455048,0.175,0.1
10,5,400,399,-0.0484616532921791,-0.1985039561986923,0.1500423029065132,0.575,0.55
10,8,409,410,-0.0108517557382583,-0.0526190549135208,0.0417672991752625,0.8,0.825
11,1,421,420,-0.0899297073483467,-0.0746212154626846,-0.015308491885662093,0.15,0.125
11,1,422,419,-0.2013668268918991,-0.1755008101463318,-0.025866016745567322,0.175,0.1
11,3,427,430,-0.2493357956409454,-0.0201093554496765,-0.22922644019126892,0.3,0.375
11,5,438,437,-0.0253903716802597,-0.1011958420276641,0.0758054703474044,0.575,0.55
12,1,459,458,-0.0409870855510234,-0.0708539262413978,0.029866840690374402,0.15,0.125
12,1,460,457,-0.1778194159269333,-0.0764451324939727,-0.1013742834329606,0.175,0.1
12,8,485,486,-0.0165023766458034,-0.0361202284693717,0.0196178518235683,0.8,0.825
13,1,497,496,-0.0643537789583206,-0.0575542971491813,-0.006799481809139307,0.15,0.125
13,1,498,495,-0.1669015735387802,-0.1887895613908767,0.021887987852096474,0.175,0.1
13,5,514,513,-0.0287033542990684,-0.1291388422250747,0.10043548792600632,0.575,0.55
13,9,531,530,-0.0468673482537269,-0.117082729935646,0.0702153816819191,1.0,0.975
14,1,535,533,-0.0140225971117615,-0.1148326098918914,0.1008100127801299,0.15,0.1
14,3,541,544,-0.5684351325035095,-0.0053265616297721,-0.5631085708737374,0.3,0.375
14,5,552,551,-0.0454323850572109,-0.1576960831880569,0.112263698130846,0.575,0.55
14,8,561,562,0.008072973228991,-0.0025763511657714,0.0106493243947624,0.8,0.825
15,1,573,572,-0.0083408430218696,-0.1569074988365173,0.1485666558146477,0.15,0.125
15,1,574,571,-0.1338366717100143,-0.1165439337491989,-0.017292737960815388,0.175,0.1
15,5,590,589,-0.1056087464094162,-0.1270794123411178,0.021470665931701605,0.575,0.55
16,1,611,610,-0.0598891451954841,-0.1087809428572654,0.048891797661781304,0.15,0.125
16,1,612,609,-0.2452040761709213,-0.1389461457729339,-0.1062579303979874,0.175,0.1
16,5,628,627,-0.0426519848406314,-0.0756035149097442,0.03295153006911279,0.575,0.55
16,8,637,638,-0.0164793767035007,-0.1114670783281326,0.09498770162463191,0.8,0.825
16,9,645,644,-0.0603696890175342,-0.1389950215816497,0.0786253325641155,1.0,0.975
17,1,649,648,-0.0383254662156105,-0.0876316055655479,0.049306139349937404,0.15,0.125
17,1,650,647,-0.2046539932489395,-0.1419135630130767,-0.06274043023586279,0.175,0.1
17,5,666,665,-0.1068615689873695,-0.0525523796677589,-0.054309189319610596,0.575,0.55
17,8,675,676,-0.015106962993741,-0.0736065357923507,0.0584995727986097,0.8,0.825
18,1,687,686,-0.0622648037970066,-0.115001305937767,0.0527365021407604,0.15,0.125
