phase_decile,metric,left_n,right_n,left_mean,right_mean,left_median,right_median,left_trimmed_mean,right_trimmed_mean,p_superiority,cliffs_delta,delta_mean,delta_median,delta_trimmed_mean
0,excess,0,20,,-0.06861280202865597,,-0.07099162414669985,,-0.06828067870810624,,,,,
1,excess,40,38,-0.11253303834237154,-0.12071288426063558,-0.0989037565886974,-0.11577261984348294,-0.10972738920827393,-0.11725593172013757,0.5453947368421053,0.09078947368421053,0.00817984591826404,0.016868863254785538,0.007528542511863634
2,excess,80,0,-0.4514823390636593,,-0.45011216402053833,,-0.4460235342849046,,,,,,
3,excess,60,7,-0.1554769943972739,-0.015742471441626514,-0.1488626971840858,-0.016655720770359,-0.14078389356533683,-0.015742471441626518,0.09523809523809523,-0.8095238095238095,-0.13973452295564737,-0.13220697641372678,-0.1250414221237103
4,excess,0,75,,-0.08288725770389035,,-0.0712117254734039,,-0.07571960052811216,,,,,
5,excess,17,63,-0.04337021231870437,-0.10120331800527986,-0.0361951142549514,-0.0871454626321792,-0.041710563252369534,-0.09717776385300296,0.8496732026143791,0.6993464052287581,0.057833105686575494,0.050950348377227804,0.055467200600633426
6,excess,80,0,-0.2780818844272289,,-0.2024002522230148,,-0.24389383109519258,,,,,,
7,excess,80,0,-0.2541352745145559,,-0.17957653850317,,-0.2207372859120369,,,,,,
8,excess,11,66,-0.011966992973942601,-0.07935303235144324,-0.0108517557382583,-0.06721817702054975,-0.011034032381657045,-0.07395096571633106,0.8774104683195593,0.7548209366391185,0.06738603937750064,0.05636642128229145,0.06291693333467402
9,excess,3,89,-0.05889013782143587,-0.08119985521927975,-0.0603696890175342,-0.0799769833683967,-0.05889013782143587,-0.07789855868849031,0.6367041198501873,0.27340823970037453,0.022309717397843876,0.019607294350862503,0.01900842086705444
