regime,metric,n_episodes,n,mean,median,trimmed_mean,mean_ci_low,mean_ci_high,median_ci_low,median_ci_high,trimmed_mean_ci_low,trimmed_mean_ci_high
interaction,mse_model,20,371,0.24127682424878397,0.0805547162890434,0.14615530320615677,0.20741601856813838,0.27728073450854224,0.0681031644344329,0.0872258767485618,0.12395283486688374,0.1764011784870591
interaction,mse_persistence,20,371,0.4934911157062272,0.2691571116447449,0.39211479435213886,0.4494042971592304,0.5407200593678938,0.24385370705276727,0.2997666299343109,0.3494791308773866,0.4429046083207301
interaction,excess,20,371,-0.25221429106081533,-0.1792045831680297,-0.21938742374255,-0.2739239035388247,-0.23091284625861325,-0.20193119421601297,-0.1614522561430931,-0.24093480501043468,-0.1987592215900767
interaction,mse_model_whitened,20,371,91.00294863163067,19.90940052653792,44.151403718578145,61.17913813125794,123.48754976678366,14.769420079464602,33.979152563430176,28.531664322226643,64.67997940596119
interaction,mse_persistence_whitened,20,371,195.5270777553091,47.94766434875003,98.15583639056489,130.53724410987527,270.2521146313712,23.519503054632164,87.5239816726317,61.00376414586282,154.91238697741758
interaction,excess_whitened,20,371,-104.52412912367848,-16.69417284270167,-49.992700281418266,-145.35738108483815,-66.46879980429698,-44.21812751693142,-6.300651837304615,-82.81553283968452,-26.715063318217975
transport_free,mse_model,20,358,0.05089006943214556,0.0209396835416555,0.039877008798713226,0.04677087202339144,0.054909206055849674,0.018704553088173193,0.0236321929842233,0.03584501952491452,0.04384557729864399
transport_free,mse_persistence,20,358,0.1378341577361811,0.1158300712704658,0.12773147640594587,0.1265145656346957,0.1517804198169872,0.10511848498135802,0.1246961429715156,0.11747621399920323,0.14070245848412247
transport_free,excess,20,358,-0.0869440881407939,-0.07957226410508156,-0.08233292276660596,-0.09766054765626443,-0.07844026006072884,-0.08671768587082622,-0.06858642213046548,-0.09316766824651947,-0.0743000284410398
transport_free,mse_model_whitened,20,358,28.286372982873075,12.772976695476999,16.67382260160435,19.612831326159174,37.629527917902394,11.288791884094543,15.508015843378544,12.939431087798798,22.880978644301543
transport_free,mse_persistence_whitened,20,358,50.04709573403625,23.449866437935867,35.731683747462824,31.629403824877595,69.59566175949263,13.979355981690777,37.7734369062589,22.55374920377306,53.67798864115946
transport_free,excess_whitened,20,358,-21.76072275116317,-5.4625672796604965,-13.884503558932206,-34.65025631418105,-12.440881353541563,-14.441821630587576,0.4837380539771706,-25.745525404267557,-6.451083448523804
static,mse_model,19,31,0.03215042261346689,0.0246073696762323,0.029254404157400087,0.024336042575754793,0.04108669932134843,0.013240553298965072,0.0428428389132022,0.02220919079007576,0.03705367351496321
static,mse_persistence,19,31,0.040811121789550736,0.0443729162216186,0.03685553252464155,0.03018396696592386,0.052454076053785534,0.02449258696287865,0.0518920235335826,0.02788865613204684,0.04916762677448823
static,excess,19,31,-0.008660698970479344,-0.0020486004650592,-0.004830007776618,-0.016876400690918836,-0.00032294382813112966,-0.00796185620129105,0.0062750703655183,-0.014569188684496685,0.0027569998002339273
static,mse_model_whitened,19,31,24.65705025967906,12.742812985319825,18.34322861770265,15.721209828683087,36.01419120903247,8.671804661159028,21.968009895647825,11.555819444316901,31.22451118211879
static,mse_persistence_whitened,19,31,22.750535230363262,5.43106091542806,16.749447732250747,11.455902486096944,35.64113767443948,2.566865623790686,22.07077959353211,6.695086837575477,32.24380505361688
static,excess_whitened,19,31,1.9065150293158,6.502516295195271,4.776380747101898,-7.165581933790944,8.936060569922557,3.8663787794839646,9.938101909190792,-2.516015144696091,9.139827156301303
