episode_ordinal,metric,left_median,right_median,delta
10,mse_model,0.0787122249603271,0.0247206334024667,0.0539915915578604
11,mse_model,0.05150973238050935,0.0163969602435827,0.03511277213692665
12,mse_model,0.09875585138797754,0.0205599553883075,0.07819589599967004
13,mse_model,0.105076789855957,0.0199416540563106,0.0851351357996464
14,mse_model,0.0826522186398506,0.0257886098697781,0.0568636087700725
15,mse_model,0.07402235269546505,0.0186034031212329,0.05541894957423214
16,mse_model,0.0664893072098493,0.0296867731958627,0.0368025340139866
17,mse_model,0.095159150660038,0.0191908068954944,0.07596834376454359
18,mse_model,0.0872258767485618,0.0131641249172389,0.07406175183132291
19,mse_model,0.0377338677644729,0.03128259815275665,0.00645126961171625
20,mse_model,0.0681031644344329,0.01901087490841745,0.04909228952601545
21,mse_model,0.09552878886461255,0.0274917567148804,0.06803703214973215
22,mse_model,0.1286525540053844,0.0181165337562561,0.11053602024912829
23,mse_model,0.0927383042871952,0.0328243607655167,0.0599139435216785
24,mse_model,0.0808390751481056,0.017565581947565,0.0632734932005406
25,mse_model,0.07844389975070945,0.0247440785169601,0.05369982123374935
26,mse_model,0.08822165802121154,0.01665786933153865,0.07156378868967289
27,mse_model,0.0890940316021442,0.0133816553279757,0.0757123762741685
28,mse_model,0.041703151538968,0.01976884156465525,0.021934309974312755
29,mse_model,0.0668378490954637,0.061774730682373,0.005063118413090699
10,excess,-0.1795334368944168,-0.1465121358633041,-0.0330213010311127
11,excess,-0.19426856189966202,-0.0746212154626846,-0.11964734643697741
12,excess,-0.19030407071113586,-0.0807722583413124,-0.10953181236982347
13,excess,-0.1641789674758911,-0.0977631509304046,-0.06641581654548652
14,excess,-0.154719740152359,-0.1003695577383041,-0.05435018241405491
15,excess,-0.1445408836007118,-0.05444130674004555,-0.09009957686066625
16,excess,-0.25018028169870377,-0.1089996807277202,-0.14118060097098356
17,excess,-0.2046539932489395,-0.0781444907188415,-0.126509502530098
18,excess,-0.2448877990245819,-0.08255549147725105,-0.16233230754733086
19,excess,-0.15359552204608917,-0.09439955279231066,-0.05919596925377851
20,excess,-0.1440857797861099,-0.08070717751979825,-0.06337860226631165
21,excess,-0.1845219731330871,-0.06596567854285235,-0.11855629459023476
22,excess,-0.23420406877994535,-0.0576524510979652,-0.17655161768198013
23,excess,-0.1585811302065849,-0.09776827692985529,-0.06081285327672961
24,excess,-0.2092462927103042,-0.0756196081638336,-0.1336266845464706
25,excess,-0.15815202891826624,-0.0694087296724319,-0.08874329924583434
26,excess,-0.1478853747248649,-0.048719260841608006,-0.0991661138832569
27,excess,-0.24128056317567825,-0.0672715082764625,-0.17400905489921575
28,excess,-0.1555131897330284,-0.0936442948877811,-0.06186889484524731
29,excess,-0.137914627790451,-0.079692505300045,-0.058222122490405995
