row_id,episode_ordinal,episode_id,split,model_step,raw_step,transition_block,normalized_position,interaction_contact,support_contact,free,sensor_grasp_onset,sensor_release,mse_model,mse_persistence,excess,mse_model_whitened,mse_persistence_whitened,excess_whitened,phase_decile,interaction_contact_relabel,block_disp,effector_disp,transport_free,static,regime
0,0,0,calibration,3,15,2,0.075,False,True,True,False,False,0.0121737224981188,0.0530798397958278,-0.0409061163663864,8.876036859211435,3.0632226869975754,5.81281417221386,0,False,4.2674197509029455e-16,0.05654308056728864,True,False,transport_free
1,0,0,calibration,4,20,3,0.1,False,True,True,False,False,0.0109737887978553,0.1158261820673942,-0.1048523932695388,7.927741618462843,2.0322371481594064,5.895504470303436,1,False,0.0,0.05812159857672834,True,False,transport_free
2,0,0,calibration,5,25,4,0.125,False,True,True,False,False,0.0075479485094547,0.0783553346991539,-0.0708073824644088,6.737886759887307,0.7950053233090953,5.942881436578212,1,False,0.0,0.03446523087633544,True,False,transport_free
3,0,0,calibration,6,30,5,0.15,True,True,False,True,False,0.0065157054923474,0.0606521852314472,-0.0541364811360836,7.250613463603007,1.5646046282525825,5.686008835350425,1,True,0.005528758034893651,0.010365490535329532,False,False,interaction
4,0,0,calibration,7,35,6,0.175,True,False,False,False,False,0.0664326101541519,0.2866609990596771,-0.2202283889055252,10.840392471094304,2.531496397140684,8.30889607395362,1,True,0.07927505367695548,0.07961335616617547,False,False,interaction
5,0,0,calibration,8,40,7,0.2,True,False,False,False,False,0.2407007217407226,0.499184250831604,-0.2584835290908813,14.570008694962487,2.741216955779825,11.828791739182662,2,True,0.09860895093927484,0.09879121065242756,False,False,interaction
6,0,0,calibration,9,45,8,0.225,True,False,False,False,False,0.3549585342407226,0.6277828216552734,-0.2728242874145508,10.265122080801488,2.5704428010283085,7.69467927977318,2,True,0.0837173921811868,0.0843370766147947,False,False,interaction
7,0,0,calibration,10,50,9,0.25,True,False,False,False,False,0.748487651348114,1.241601586341858,-0.4931139349937439,14.7110529224128,2.9638393942048595,11.74721352820794,2,True,0.07970761973051124,0.08141451373396051,False,False,interaction
8,0,0,calibration,11,55,10,0.275,True,False,False,False,False,0.4086732864379883,0.9185064435005188,-0.5098331570625305,11.90237153841491,2.739168524257021,9.163203014157888,2,True,0.07523447959551911,0.07653072432868284,False,False,interaction
9,0,0,calibration,12,60,11,0.3,True,False,False,False,False,0.0206423755735158,0.2101259231567382,-0.1894835531711578,8.16105403846237,1.9578572401844192,6.20319679827795,3,True,0.05779186105035777,0.057627728514025006,False,False,interaction
