episode_ordinal,phase_decile,magnitude_bin,left_row_id,right_row_id,left_value,right_value,delta,left_magnitude,right_magnitude,abs_magnitude_gap,left_position,right_position,scale,metric,magnitude_col
10,1,4,383,381,-61.082710320535455,-156.0767078865909,94.99399756605544,11.385005819724068,13.12500600896549,1.7400001892414227,0.15,0.1,whitened,excess_whitened_recomputed,persistence_mag_whitened
10,5,3,400,397,-54.96687206648703,-69.6913909846816,14.724518918194576,8.022677840244967,9.661979805813562,1.6393019655685954,0.575,0.5,whitened,excess_whitened_recomputed,persistence_mag_whitened
11,1,1,421,420,1.0047908805033856,0.2865912132827262,0.7181996672206594,3.2665759887389036,3.029563516684654,0.23701247205424947,0.15,0.125,whitened,excess_whitened_recomputed,persistence_mag_whitened
11,3,0,429,430,7.063350727552558,6.223157843570743,0.8401928839818158,1.4878956185988887,1.972951895946239,0.48505627734735035,0.35,0.375,whitened,excess_whitened_recomputed,persistence_mag_whitened
11,5,0,438,435,6.736638680623668,6.680237929550312,0.056400751073355515,1.2991552981660588,1.6859817366719554,0.3868264385058966,0.575,0.5,whitened,excess_whitened_recomputed,persistence_mag_whitened
12,1,2,459,458,-28.161283747375368,-25.287784897191486,-2.873498850183882,5.866799557025707,6.266548977273356,0.39974942024764903,0.15,0.125,whitened,excess_whitened_recomputed,persistence_mag_whitened
12,8,0,485,488,6.399745314676453,5.109464673588537,1.2902806410879162,1.2900561218103164,1.9382708393650234,0.648214717554707,0.8,0.875,whitened,excess_whitened_recomputed,persistence_mag_whitened
13,9,1,531,528,-2.266050689454774,6.599035603441125,-8.8650862928959,3.2302843089483826,3.04815997943056,0.18212432951782276,1.0,0.925,whitened,excess_whitened_recomputed,persistence_mag_whitened
14,1,0,535,533,6.290515918936711,4.686572867970419,1.6039430509662918,0.9294023508862086,2.100524248934994,1.1711218980487854,0.15,0.1,whitened,excess_whitened_recomputed,persistence_mag_whitened
14,3,3,543,544,-19.700912275676878,23.252295529834655,-42.95320780551153,8.26990925367674,9.893977175032312,1.6240679213555715,0.35,0.375,whitened,excess_whitened_recomputed,persistence_mag_whitened
14,5,3,552,549,-40.43930662199991,-54.68025401780051,14.240947395800596,7.278397472344101,8.258853613137672,0.9804561407935717,0.575,0.5,whitened,excess_whitened_recomputed,persistence_mag_whitened
16,1,3,612,610,-3.5780638432523304,-49.42418706127441,45.84612321802208,7.790430296999284,8.799280671159057,1.0088503741597732,0.175,0.125,whitened,excess_whitened_recomputed,persistence_mag_whitened
16,5,0,628,626,2.3581365521635043,2.1966451613342324,0.16149139082927189,2.4096348919139436,2.074807602104283,0.3348272898096605,0.575,0.525,whitened,excess_whitened_recomputed,persistence_mag_whitened
16,8,0,637,640,4.400847367634832,2.0166244942848968,2.384222873349935,1.6436721079508396,2.5801168037144206,0.936444695763581,0.8,0.875,whitened,excess_whitened_recomputed,persistence_mag_whitened
16,9,1,645,642,0.6667900413374683,1.8256184851638153,-1.158828443826347,2.632911233484807,3.010770423933491,0.3778591904486839,1.0,0.925,whitened,excess_whitened_recomputed,persistence_mag_whitened
17,5,0,666,663,1.5354334963683396,3.659397846719368,-2.1239643503510286,1.7800866493582863,1.508099976175078,0.27198667318320835,0.575,0.5,whitened,excess_whitened_recomputed,persistence_mag_whitened
