n,mean,median,trimmed_mean,mean_ci_low,mean_ci_high,median_ci_low,median_ci_high,trimmed_mean_ci_low,trimmed_mean_ci_high,dataset,scale,regime,metric,n_episodes
358,14.447075412737995,15.948009622420058,15.072307519503,12.616847098350634,15.993637475411209,13.977519198958142,17.420305639746196,12.890084385030292,16.52762367361265,cube,raw,transport_free,neighbor_radius,20
358,1.0845995433130873,1.041590604330382,1.0587415188308797,1.0521957434406533,1.1300418712004554,1.0336131087654807,1.056405188360811,1.040761296501318,1.0942934129146848,cube,raw,transport_free,local_expansion,20
358,0.2856761916503709,0.2473346390534988,0.2585737992744106,0.24209003489983813,0.3380220166236973,0.21698288871007126,0.27837573766445256,0.2287855629878734,0.294402786294987,cube,raw,transport_free,model_sensitivity,20
358,2.68944853281973,2.0050823339943076,2.495991564973363,2.5752707128079098,2.799931374593637,1.8886557556128414,2.13011302135017,2.3715463721194756,2.6207109573844645,cube,raw,transport_free,residual_norm,20
371,14.0818612341821,14.667213006874395,14.436910564084302,12.94281516332617,15.05356314724291,13.399784899861844,15.405780786517106,13.26907562760284,15.32317951024393,cube,raw,interaction,neighbor_radius,20
371,1.1838359195401,1.1051245640771228,1.1467966193387769,1.1508378701713755,1.219164264271875,1.0848952554707787,1.1428046735673565,1.1222476420449659,1.1754567987204887,cube,raw,interaction,local_expansion,20
371,0.5647054711362692,0.4448730339340129,0.5103651227618089,0.5142585731011361,0.6187752580208162,0.4112694016737782,0.5082544284774552,0.4617326028843238,0.5679307573095593,cube,raw,interaction,model_sensitivity,20
371,5.305845986323515,3.9327477825592974,4.590345206987766,4.93008925493062,5.678629521624732,3.5950331859394935,4.128564442443347,4.246208867525002,4.981994457245234,cube,raw,interaction,residual_norm,20
31,15.185881939826666,17.5020106350023,16.059214349523916,12.887011886488992,16.953741793174903,14.432454061846634,18.03956429968381,13.205986837405485,17.53716202102378,cube,raw,static,neighbor_radius,19
31,1.0411756097848022,1.0286184311101063,1.0343566867991774,1.0171065925147023,1.0711296771282661,1.0144164745771111,1.0477847133378277,1.0211361663641627,1.0617674770356025,cube,raw,static,local_expansion,19
31,0.2815857120763555,0.24313463650224912,0.2504376190259926,0.229283686536393,0.358404318032705,0.20980036633427845,0.2980719295109205,0.21172121622508402,0.33847522521748347,cube,raw,static,model_sensitivity,19
31,2.267766940497954,2.1736179784662446,2.2355644888876594,1.945861158855392,2.5826528973645955,1.6135665327567241,2.8685604240860214,1.9010908859921003,2.5488494602670633,cube,raw,static,residual_norm,19
358,240.95040959404582,188.2580837960803,223.68978079006638,184.89393756901976,302.90720551679163,148.47645552026933,285.7361986649828,164.5444488504561,293.6121408052029,cube,whitened,transport_free,neighbor_radius,20
358,1.1135453979959513,1.0690517275104021,1.0913462349845848,1.0766611197503029,1.1549142258624507,1.0500913073852682,1.114710564719377,1.058994513070697,1.1335734982123193,cube,whitened,transport_free,local_expansion,20
358,0.455560648941541,0.32266386904704936,0.4011733201177402,0.3661294547873092,0.5575181086696092,0.2588424520449829,0.4368601981274312,0.31301161325535864,0.5176681004677761,cube,whitened,transport_free,model_sensitivity,20
358,63.16458436678555,49.5216961902992,54.52825345612761,55.17624168437406,71.39962242381691,46.5558593708681,54.04357941236932,49.03869704895345,61.62225148460327,cube,whitened,transport_free,residual_norm,20
371,206.70829578065553,167.15075971974923,190.788737569316,166.03179866374649,251.10636613039097,106.66576888451175,252.77161345942037,146.75519159827866,240.706195554219,cube,whitened,interaction,neighbor_radius,20
371,1.3855928947808225,1.135800378007236,1.1892349281696764,1.2790525936180555,1.5006345310239384,1.100544224893531,1.1636563397494237,1.1552840746400312,1.2369994820268035,cube,whitened,interaction,local_expansion,20
371,0.9060067762637732,0.6155700218747253,0.6887405426591373,0.7839183592801521,1.02651424364877,0.5016326109128716,0.7105644651866725,0.5950139227202295,0.783141055172007,cube,whitened,interaction,model_sensitivity,20
371,99.35644704930824,61.8272181251761,81.2438561911949,82.56169658439693,114.74099464324972,52.93513891750467,80.77126526260953,66.19008902089844,95.88027257315025,cube,whitened,interaction,residual_norm,20
31,252.03434827363589,167.95050377574444,233.17627008557233,172.62525058186918,333.37255090503686,129.91372844247798,340.63776723867335,151.81027797377976,331.2661452987944,cube,whitened,static,neighbor_radius,19
31,1.0949713298600945,1.082108635094364,1.0897618871769403,1.0579684506302571,1.1371679150807552,1.0557636948590194,1.1116144076616428,1.0577458565468436,1.1323192574344028,cube,whitened,static,local_expansion,19
31,0.4741344524500228,0.4298910742944046,0.4468730542613234,0.3516867261808037,0.6200041655944263,0.23010876410525047,0.6218110843297668,0.3146012522691234,0.616559596634817,cube,whitened,static,model_sensitivity,19
