n,mean,median,trimmed_mean,mean_ci_low,mean_ci_high,median_ci_low,median_ci_high,trimmed_mean_ci_low,trimmed_mean_ci_high,dataset,scale,regime,metric,n_episodes
6197,3.222463381365865,1.819832513894498,2.6224843324748823,2.944981663414602,3.5080819952392797,1.549481072257063,2.2162062429447587,2.352304369762361,2.9059503172488075,fetch,raw_fullstate,free,neighbor_radius,200
6197,0.2296553998443067,0.2207704984360257,0.2240877724868968,0.22141344661676912,0.2374053713597924,0.20998559330203856,0.2321585761844554,0.2152122700683174,0.23260740527247029,fetch,raw_fullstate,free,local_expansion,200
6197,0.0528716997183167,0.04054259314281857,0.043992547285293,0.05005607265845683,0.056036763686678925,0.038974234536348705,0.04203022480873091,0.042229149707993616,0.045997110921210935,fetch,raw_fullstate,free,model_sensitivity,200
6197,0.16170882068067516,0.07305623248842355,0.09763003926353322,0.1365343705669712,0.1886536281408445,0.06495539695527287,0.08252829193117232,0.08690888263929517,0.10944573474467688,fetch,raw_fullstate,free,residual_norm,200
1069,5.792511610223533,5.125250200687008,5.274845299876368,5.26376066148022,6.298388000335224,4.76365706222544,5.584194215122555,4.832080985818436,5.703215262195793,fetch,raw_fullstate,interaction,neighbor_radius,187
1069,0.19374983440519505,0.17284026899172644,0.18076863808927388,0.1802655098364839,0.2100719097746971,0.1575794630460164,0.18704897544543736,0.1691157899028777,0.19452620114041058,fetch,raw_fullstate,interaction,local_expansion,187
1069,0.09107638177043513,0.0646729307542207,0.07206954289084598,0.07794047040727509,0.10701289782181352,0.05905197707769342,0.07038294901102791,0.06545039294193804,0.07946505419088257,fetch,raw_fullstate,interaction,model_sensitivity,187
1069,0.5463910745968192,0.23290103457018985,0.3305783702084926,0.41138046612406687,0.6974290254664173,0.19616633014978066,0.27689681916685804,0.25900359475857265,0.42248840325353415,fetch,raw_fullstate,interaction,residual_norm,187
1321,2.9557520183924764,2.153195681050685,2.5762840086537935,2.7234725633814283,3.2230073335809677,1.9856893300004073,2.4279256112944645,2.3749938908003716,2.815633891612105,fetch,raw_fullstate,sustained_contact_dynamics,neighbor_radius,187
1321,0.18666002691185157,0.17811747105792836,0.1809541403093451,0.17742538381454936,0.1959609509597652,0.16901333024503365,0.18675538728802038,0.1719608455153468,0.1900299344270054,fetch,raw_fullstate,sustained_contact_dynamics,local_expansion,187
1321,0.0404811057246682,0.03219543893736303,0.03445935927822314,0.03749424542003811,0.04434991781715058,0.0303378423519805,0.0339227431185999,0.03291269221688285,0.036363472455537504,fetch,raw_fullstate,sustained_contact_dynamics,model_sensitivity,187
1321,0.1254200469989938,0.06340941179088959,0.08173516930875264,0.09779563330338381,0.16337802793636463,0.05660510737899493,0.07482354210963178,0.07226900258504018,0.09367977049773113,fetch,raw_fullstate,sustained_contact_dynamics,residual_norm,187
682,4.557759091970606,3.8526393130678684,3.981069409975824,4.148090520637267,5.038137654642023,3.623345380620682,4.104107400346091,3.713711327481028,4.354419886869222,fetch,raw_fullstate,post_impact_response,neighbor_radius,145
682,0.15486450723857653,0.14037558653449678,0.14611696175682823,0.14671917482431793,0.1633846805766752,0.1291831037740884,0.1502429618501051,0.13838683105274413,0.1538434277440271,fetch,raw_fullstate,post_impact_response,local_expansion,145
682,0.0401597378026333,0.027548045670878804,0.030995339976726096,0.03531057465650647,0.04598020057386212,0.025817018025585028,0.029705857892728667,0.02916612174164387,0.03338291580500296,fetch,raw_fullstate,post_impact_response,model_sensitivity,145
682,0.22178346327392065,0.07944863320566477,0.1004147270450668,0.15382861194893696,0.3034457289660871,0.0702853791613183,0.0919206648654125,0.08769440046917576,0.12044413231839417,fetch,raw_fullstate,post_impact_response,residual_norm,145
131,4.73427102073657,3.0237011282063277,3.654509430194481,3.709175521280591,5.954703598144458,2.773313485563181,3.4136802520079366,2.967989365732419,5.025158626241368,fetch,raw_fullstate,impact_onset,neighbor_radius,88
131,0.17284609136622492,0.16297432910622214,0.1670901464664131,0.16220001265007553,0.1840453154000576,0.15569009003316409,0.1699950038307451,0.15706446333227658,0.17817813702498625,fetch,raw_fullstate,impact_onset,local_expansion,88
131,0.05859589995034887,0.04180822630081966,0.04952523616666038,0.049029728978735414,0.07068215087125156,0.035024540320297226,0.049811421970998804,0.041511900621683216,0.060887365759199036,fetch,raw_fullstate,impact_onset,model_sensitivity,88
131,0.38420889451014617,0.09927882313329686,0.1683716075574161,0.20900116738698027,0.596195290426137,0.08649147290945933,0.11864595819899319,0.10220494002378545,0.35009825913694065,fetch,raw_fullstate,impact_onset,residual_norm,88
6197,6.014219617384203,5.0082594554334765,5.487124567128073,5.653958204947296,6.376403874549607,4.600065663512994,5.451230341408541,5.130628298557085,5.8562293256019045,fetch,normalized_fullstate,free,neighbor_radius,200
6197,0.43773317601215667,0.41346669033464234,0.41643090641422265,0.4322672932790572,0.44289926326841716,0.40808612295665175,0.4197864339579357,0.41100685130101156,0.42171641870938553,fetch,normalized_fullstate,free,local_expansion,200
6197,0.13861871513961077,0.0775718842198491,0.10781748207824562,0.12975059717969967,0.14764584317019097,0.07253203315623033,0.08379595097073012,0.09924046403820042,0.1170404704740855,fetch,normalized_fullstate,free,model_sensitivity,200
6197,0.8098007332418902,0.3670554306261303,0.550450560596527,0.7312688765747979,0.8961434679828425,0.31522408851852696,0.4308959893552594,0.486250272864344,0.623255159655282,fetch,normalized_fullstate,free,residual_norm,200
1069,9.73930949355702,8.43248916128167,9.1439203580882,8.962872660285559,10.47861301044928,7.68582357080231,9.579519508841445,8.38488252294545,9.846176987355696,fetch,normalized_fullstate,interaction,neighbor_radius,187
1069,0.5494024571779942,0.4708125395567745,0.5125064954362032,0.5318422587840183,0.5719122424800841,0.4570518514520105,0.49133422358106155,0.4951812413910105,0.5337713756220358,fetch,normalized_fullstate,interaction,local_expansion,187
1069,0.30956106631449276,0.2782375802054315,0.2914645757591276,0.29855226471631285,0.3221204963872395,0.27070273213254403,0.2883215352762356,0.2820622815373903,0.3022804983288672,fetch,normalized_fullstate,interaction,model_sensitivity,187
1069,2.550854506371939,1.8724750503041945,2.1517127365010538,2.2686490443767013,2.900125542769227,1.7290481021108524,2.054781081480872,1.955619401950595,2.376455485008594,fetch,normalized_fullstate,interaction,residual_norm,187
1321,5.613516327220543,5.141922341847951,5.348705989672833,5.348669813157092,5.885240184588443,4.854239320153214,5.383097091440365,5.100304336179381,5.6024620282293505,fetch,normalized_fullstate,sustained_contact_dynamics,neighbor_radius,187
1321,0.4486439443648754,0.4193977597939194,0.4272991995674094,0.4387533867627193,0.46012593617556935,0.4111404741901154,0.42728092941089396,0.4197143082164353,0.4358345865752622,fetch,normalized_fullstate,sustained_contact_dynamics,local_expansion,187
1321,0.1560482722130116,0.0728778529095664,0.12121213450674913,0.1387638863179219,0.17691027788965946,0.06614321667323697,0.08384532607022899,0.10431612532927725,0.14068949845747433,fetch,normalized_fullstate,sustained_contact_dynamics,model_sensitivity,187
1321,0.8468082646806829,0.3157191716874568,0.575493099807459,0.7246682996600797,0.9879658728360184,0.2804981134888057,0.36191720179695946,0.4797340229513823,0.6959036142417782,fetch,normalized_fullstate,sustained_contact_dynamics,residual_norm,187
682,7.510692031896332,6.599129039930563,6.838965279305373,7.013178360903623,8.066628373068305,6.243553543585183,7.023916119612342,6.507988536587467,7.239117005078844,fetch,normalized_fullstate,post_impact_response,neighbor_radius,145
682,0.44828434112866794,0.41845162092093413,0.43038613916021534,0.4376504122071985,0.4587258590556179,0.40640989818099627,0.4284344758953721,0.42095370314660063,0.4398474551945449,fetch,normalized_fullstate,post_impact_response,local_expansion,145
682,0.13778159359026906,0.08923855404470049,0.11536893349708267,0.12460624427058586,0.15196333635479536,0.08135200409402057,0.10245486022554012,0.10307313632758666,0.13032013944988743,fetch,normalized_fullstate,post_impact_response,model_sensitivity,145
682,0.9869532349846538,0.48416153991131095,0.6879455756226581,0.8174202449462014,1.1798902635354602,0.4276860962902557,0.5721659856761286,0.5808899393946954,0.8333427543782087,fetch,normalized_fullstate,post_impact_response,residual_norm,145
131,8.109552248521535,6.152228760814234,7.027344076461642,6.892908301254642,9.451160952708747,5.609456917166634,6.457257380928001,6.008507904036496,8.631952543939224,fetch,normalized_fullstate,impact_onset,neighbor_radius,88
131,0.47813717094506825,0.4600908715158183,0.46720795239824436,0.4569336648561906,0.5027998025063155,0.42390585289917865,0.49432710798793383,0.44895850484820843,0.488349077560653,fetch,normalized_fullstate,impact_onset,local_expansion,88
131,0.19055025870823925,0.13974116423126512,0.16667232595954465,0.16192031336691787,0.22180377684765176,0.11167119576399692,0.21067675131141692,0.1390277386763095,0.19960467749730318,fetch,normalized_fullstate,impact_onset,model_sensitivity,88
131,1.6804531918463599,0.6857131815138406,1.1276765127810349,1.2043766445320583,2.2161858744815643,0.5602895864245304,0.9549892781980232,0.762652934368761,1.671700255289374,fetch,normalized_fullstate,impact_onset,residual_norm,88
