n,mean,median,trimmed_mean,mean_ci_low,mean_ci_high,median_ci_low,median_ci_high,trimmed_mean_ci_low,trimmed_mean_ci_high,dataset,r_item,scale,regime,metric,n_anchors,n_usable,n_below_5_neighbors,n_episodes
358,17.509548134903824,13.638738412138608,16.245399071673408,13.592777991869573,21.92329774514249,10.86372402604221,20.804395217011255,12.183535205970667,21.144876791284247,cube,R1,full_whitened_action_matched,transport_free,neighbor_radius,358,358,0,20
358,1.328195839813207,1.2461784751617517,1.2962581696398698,1.2657703044884343,1.3884968525620753,1.184707494116216,1.338085318976695,1.227543964282902,1.3608180178924285,cube,R1,full_whitened_action_matched,transport_free,action_neighbor_distance,358,358,0,20
358,15.017702066594277,14.621009417231498,14.804078681092868,14.579058904656096,15.465626741832862,14.409159424198407,14.993113265945695,14.428490476267156,15.21601016086657,cube,R1,full_whitened_action_matched,transport_free,local_expansion,358,358,0,20
358,5.65106152435419,4.3906200406147144,5.117642855904083,4.603287895519469,6.745240270033949,3.5373611867552897,5.851843017876478,4.094264531367808,6.324804749388948,cube,R1,full_whitened_action_matched,transport_free,model_sensitivity,358,358,0,20
358,63.16458436677541,49.521696190360316,54.52825345611498,55.39100921974184,71.86356259323904,47.093284545774665,54.10479016535399,49.55944575536204,62.1095307242842,cube,R1,full_whitened_action_matched,transport_free,residual_norm,358,358,0,20
371,15.031764872404382,12.116702001771692,13.860477940002978,12.272748726494202,18.23588614500482,7.94800461101316,18.257012642193175,10.8237543679547,17.48076720088636,cube,R1,full_whitened_action_matched,interaction,neighbor_radius,371,371,0,20
371,1.1018661470603792,1.0675928337016618,1.0798321109660403,1.0708289673800893,1.1355789671120122,1.0357685764363922,1.092642579501327,1.04964655165341,1.1142367777137225,cube,R1,full_whitened_action_matched,interaction,action_neighbor_distance,371,371,0,20
371,18.371185348563145,15.430741810182292,15.995590142384906,17.095472804258538,20.052366052135806,15.082427363149709,15.65264834964077,15.64448987261407,16.627137544445997,cube,R1,full_whitened_action_matched,interaction,local_expansion,371,371,0,20
371,11.48054874032006,8.314627474901418,8.970230785653392,10.04662228042504,13.106238437829811,6.787843664010665,9.62556307774161,7.853642190465495,10.130728928563299,cube,R1,full_whitened_action_matched,interaction,model_sensitivity,371,371,0,20
371,99.35644704939817,61.827218125153266,81.24385619124308,83.27630612508284,115.88089190196101,53.148311184063076,80.7725843325328,66.704372258611,97.54731815027458,cube,R1,full_whitened_action_matched,interaction,residual_norm,371,371,0,20
31,18.321579597131194,12.19302480139008,16.935886936802596,13.066192718479423,23.941779935937706,9.503017480849227,24.57305876364727,11.408354450851707,23.650443305342954,cube,R1,full_whitened_action_matched,static,neighbor_radius,31,31,0,19
31,1.3923935678920638,1.3539635847792915,1.3777794484909693,1.2280058337863238,1.5268205567212583,1.1988138573930192,1.5730998240150078,1.1914527047083538,1.5271538344204916,cube,R1,full_whitened_action_matched,static,action_neighbor_distance,31,31,0,19
31,14.820763869522143,14.746972893227587,14.753114191506889,14.360142983845133,15.406606970077116,14.418870922839147,15.16205949173689,14.380966044295942,15.242973003458685,cube,R1,full_whitened_action_matched,static,local_expansion,31,31,0,19
31,5.806398248899108,5.459689504956678,5.5790112045347175,4.423349488689122,7.441675762791669,3.15210651741625,8.418072404466042,4.080250393453123,7.4321985047352745,cube,R1,full_whitened_action_matched,static,model_sensitivity,31,31,0,19
31,61.6183416923745,49.46332068494196,56.19969239941557,50.54698969952153,74.07921888775586,40.32967626203092,64.9450375314726,46.14725540905622,71.03912114874379,cube,R1,full_whitened_action_matched,static,residual_norm,31,31,0,19
