n,mean,median,trimmed_mean,mean_ci_low,mean_ci_high,median_ci_low,median_ci_high,trimmed_mean_ci_low,trimmed_mean_ci_high,dataset,r_item,scale,regime,metric,n_anchors,n_usable,n_below_5_neighbors,n_episodes
358,240.9504095940795,188.25808379634822,223.689780790054,183.50383717244065,308.01673316712237,144.6531436270141,293.4865169591137,162.2488618425343,298.24784688081013,cube,R2,full_whitened,transport_free,neighbor_radius,358,358,0,20
0,,,,,,,,,,cube,R2,full_whitened,transport_free,action_neighbor_distance,358,358,0,20
358,1.1135453979961316,1.069051727511412,1.0913462349846286,1.0773431641450397,1.1531130023711604,1.050732656196002,1.1093556635491515,1.0604064155175914,1.1285957427098543,cube,R2,full_whitened,transport_free,local_expansion,358,358,0,20
358,0.4555606489413925,0.3226638690470759,0.4011733201176111,0.35831015065307026,0.5618406645814022,0.25877307951747136,0.4490581403348902,0.3070694168975143,0.5192479661777997,cube,R2,full_whitened,transport_free,model_sensitivity,358,358,0,20
358,63.16458436677541,49.521696190360316,54.52825345611498,55.00557376411546,70.94894593112855,46.746973244906705,53.91664498648849,49.073658236286924,61.188543522233296,cube,R2,full_whitened,transport_free,residual_norm,358,358,0,20
371,206.70829578065138,167.1507597196898,190.78873756930585,164.80557229046457,247.6269365694462,107.78411045299208,249.32866597960455,146.6704310276611,239.83938528294297,cube,R2,full_whitened,interaction,neighbor_radius,371,371,0,20
0,,,,,,,,,,cube,R2,full_whitened,interaction,action_neighbor_distance,371,371,0,20
371,1.3855928947811673,1.1358003780093973,1.189234928169994,1.2724133455877247,1.5135533080462342,1.101492626940481,1.1645337751688323,1.155202445171618,1.2359242207360595,cube,R2,full_whitened,interaction,local_expansion,371,371,0,20
371,0.9060067762637837,0.6155700218742646,0.6887405426591684,0.7820730694610185,1.0246229401122846,0.5014200220065964,0.7191960871437358,0.5915681212344267,0.7887949636399298,cube,R2,full_whitened,interaction,model_sensitivity,371,371,0,20
371,99.35644704939817,61.827218125153266,81.24385619124308,83.42066570626444,115.91289703788377,53.24897889699731,80.77126526295477,66.89030117715691,96.35300279227744,cube,R2,full_whitened,interaction,residual_norm,371,371,0,20
31,252.03434827349685,167.95050377585906,233.17627008552816,172.19917310961185,333.5812378829902,126.39774020800449,340.63776723963133,150.6295111237146,332.3240319537249,cube,R2,full_whitened,static,neighbor_radius,31,31,0,19
0,,,,,,,,,,cube,R2,full_whitened,static,action_neighbor_distance,31,31,0,19
31,1.0949713298592119,1.082108635093894,1.089761887176378,1.058619910782705,1.137817298125659,1.0597875078736605,1.1096184210012858,1.0575528276353874,1.131271211530003,cube,R2,full_whitened,static,local_expansion,31,31,0,19
31,0.4741344524499044,0.42989107429437157,0.44687305426126345,0.35465825225653247,0.6123408109428808,0.23026110808742012,0.6201072711389212,0.32235308562943255,0.6089131119450693,cube,R2,full_whitened,static,model_sensitivity,31,31,0,19
31,61.6183416923745,49.46332068494196,56.19969239941557,49.82817400653136,74.60067824119949,40.32967626203092,64.9450375314726,45.71077257949326,71.03766721216525,cube,R2,full_whitened,static,residual_norm,31,31,0,19
358,53.06936569573413,49.61863534020206,51.665684066261086,44.27300670723085,63.05140292319501,37.53747000969903,62.370409026043035,41.628479538419334,63.25681872037825,cube,R2,floor_1e-3,transport_free,neighbor_radius,358,358,0,20
0,,,,,,,,,,cube,R2,floor_1e-3,transport_free,action_neighbor_distance,358,358,0,20
358,1.101744936783889,1.0790260481310026,1.0850409921841973,1.0704690862853457,1.136822286201085,1.0569397274987693,1.1069190307934766,1.0589746170863956,1.11433287920758,cube,R2,floor_1e-3,transport_free,local_expansion,358,358,0,20
358,0.3342230105502241,0.2679095712137345,0.2934383994601568,0.2762160114083079,0.4002103164700627,0.23053941878976114,0.3188004869379718,0.24743419893507115,0.36302807501496875,cube,R2,floor_1e-3,transport_free,model_sensitivity,358,358,0,20
358,9.941350880275603,7.535103586271147,8.437822477709707,8.671102562960302,11.305675593622551,6.5095048373522015,8.391549505807683,7.353235543548053,9.71326552900322,cube,R2,floor_1e-3,transport_free,residual_norm,358,358,0,20
371,47.99835722082235,44.490585502558204,46.42929296003507,41.811489275332285,54.79410370327286,36.18075789664781,54.90549828479446,39.59982612547952,54.40841563057842,cube,R2,floor_1e-3,interaction,neighbor_radius,371,371,0,20
0,,,,,,,,,,cube,R2,floor_1e-3,interaction,action_neighbor_distance,371,371,0,20
371,1.2307364911881216,1.1289549408341641,1.158334412471373,1.179627864318145,1.2899475746670819,1.093751135945598,1.1679784209034023,1.1230857263827372,1.204558804968238,cube,R2,floor_1e-3,interaction,local_expansion,371,371,0,20
371,0.6726504845977803,0.5176961427934653,0.5684205313152305,0.5875365988931297,0.751212558793492,0.43565496706905493,0.5980829236841894,0.4936854702050038,0.6529461129658449,cube,R2,floor_1e-3,interaction,model_sensitivity,371,371,0,20
371,18.945445784785107,14.778237671308675,16.20415786999417,16.474113667148888,21.276260309658397,11.381331811509755,16.55005503287389,13.735404395715038,18.65093004653117,cube,R2,floor_1e-3,interaction,residual_norm,371,371,0,20
31,54.98916683266283,52.46139764499509,53.88362035182681,41.861298812485856,66.56533997905039,30.565147471561172,72.93681782178297,39.37081845225993,67.64521624700173,cube,R2,floor_1e-3,static,neighbor_radius,31,31,0,19
0,,,,,,,,,,cube,R2,floor_1e-3,static,action_neighbor_distance,31,31,0,19
31,1.0747818447623434,1.0429348250236774,1.0613407693675707,1.0394296315705014,1.1179709284001726,1.0363801506373953,1.0773678663576962,1.0373293515621347,1.101055400866017,cube,R2,floor_1e-3,static,local_expansion,31,31,0,19
31,0.3600100105016602,0.29536878889329304,0.3280063739788652,0.28183050533578047,0.452673936654996,0.2361405224883564,0.36026741951249164,0.259839834342488,0.4404190644500496,cube,R2,floor_1e-3,static,model_sensitivity,31,31,0,19
