n,mean,median,trimmed_mean,mean_ci_low,mean_ci_high,median_ci_low,median_ci_high,trimmed_mean_ci_low,trimmed_mean_ci_high,dataset,r_item,scale,regime,metric,n_anchors,n_usable,n_below_5_neighbors,n_episodes
358,0.9803699845673232,0.838093640316264,0.9243953905639266,0.9482896689557441,1.0156407355377632,0.8004164726194528,0.8782206638233662,0.8926813878434224,0.9575920766194931,cube,R3v2,r3v2_augmented_kinematic_action_neighbors_targetnorm_latent_quat,transport_free,neighbor_radius,358,358,0,20
358,0.6734572669614787,0.46623288793980094,0.6114567565190178,0.643673860365641,0.7015889642227818,0.44828541780683867,0.4862430929273058,0.5821718596648088,0.639919311198774,cube,R3v2,r3v2_augmented_kinematic_action_neighbors_targetnorm_latent_quat,transport_free,action_neighbor_distance,358,358,0,20
358,24.835403390190315,24.604604206531175,24.70271310599596,24.143607895707913,25.523638635879234,23.407066430677027,25.175350487912908,23.92417792711642,25.457632129664816,cube,R3v2,r3v2_augmented_kinematic_action_neighbors_targetnorm_latent_quat,transport_free,local_expansion,358,358,0,20
358,4.080486508408172,3.1519650454728128,3.512412934349733,3.9225528562039433,4.239948922251493,2.956168388751112,3.3259321847850027,3.3414244841241647,3.672268727249336,cube,R3v2,r3v2_augmented_kinematic_action_neighbors_targetnorm_latent_quat,transport_free,model_sensitivity,358,358,0,20
358,2.788879422219647,2.0882975977118665,2.586687185114837,2.669090974528229,2.9028800578535296,1.9599318221190258,2.2103819738949184,2.455297934248829,2.711785476917954,cube,R3v2,r3v2_augmented_kinematic_action_neighbors_targetnorm_latent_quat,transport_free,residual_norm,358,358,0,20
371,1.122443854097288,0.9471020525129086,1.013428550977187,1.0463699592119067,1.2024863102323684,0.898004998445683,0.9837267954782816,0.9708117508562604,1.0608423573203323,cube,R3v2,r3v2_augmented_kinematic_action_neighbors_targetnorm_latent_quat,interaction,neighbor_radius,371,371,0,20
371,0.5633512068049276,0.4565497163653833,0.513186279202412,0.5348783129686443,0.5992877491530779,0.4417455234632831,0.46381882524168516,0.4963366903634014,0.5382262238278436,cube,R3v2,r3v2_augmented_kinematic_action_neighbors_targetnorm_latent_quat,interaction,action_neighbor_distance,371,371,0,20
371,20.90253632836748,21.41130529962211,21.04741433109875,20.036135916876944,21.722420267879325,20.142612537972887,22.11679002102877,20.232283776962593,21.845611867672837,cube,R3v2,r3v2_augmented_kinematic_action_neighbors_targetnorm_latent_quat,interaction,local_expansion,371,371,0,20
371,6.058761786514751,5.440375383111475,5.826473305416435,5.8182911730490705,6.271166330449082,5.099213033473857,5.5881908358788355,5.57436131736877,6.065036243529989,cube,R3v2,r3v2_augmented_kinematic_action_neighbors_targetnorm_latent_quat,interaction,model_sensitivity,371,371,0,20
371,5.51163253430659,4.080202453714966,4.771584170560226,5.136114179012547,5.919180370260769,3.72078015358532,4.303039929589429,4.420583350716294,5.188970271343323,cube,R3v2,r3v2_augmented_kinematic_action_neighbors_targetnorm_latent_quat,interaction,residual_norm,371,371,0,20
31,1.27578774244561,1.0373296445883105,1.2268973098522276,1.0799888441107286,1.4688670759625722,0.9038476130522035,1.5826002535352937,1.0363727488996024,1.4514140236992055,cube,R3v2,r3v2_augmented_kinematic_action_neighbors_targetnorm_latent_quat,static,neighbor_radius,31,31,0,19
31,0.7339014402882881,0.44108199424036343,0.6796159595895312,0.613470972599774,0.8603294048465644,0.39990143106318954,0.8407459496902978,0.5500575964729146,0.8355940802231367,cube,R3v2,r3v2_augmented_kinematic_action_neighbors_targetnorm_latent_quat,static,action_neighbor_distance,31,31,0,19
31,19.736891403648276,19.78879924341667,18.984997464039157,17.001777832482958,22.730819584906815,13.406238256882041,22.71006485770055,16.14279982156483,22.337755031134595,cube,R3v2,r3v2_augmented_kinematic_action_neighbors_targetnorm_latent_quat,static,local_expansion,31,31,0,19
31,2.9007556069679516,2.4513969145135475,2.7604567625306107,2.4319445017436276,3.395628897822393,1.7682687569154418,3.227656695823646,2.2627143731904917,3.336556065390941,cube,R3v2,r3v2_augmented_kinematic_action_neighbors_targetnorm_latent_quat,static,model_sensitivity,31,31,0,19
31,2.3531533927573993,2.252945601288186,2.3176381642765036,2.015416922424461,2.7210498542319206,1.646286713574352,3.0216405388030716,1.9678624646572647,2.665201877600186,cube,R3v2,r3v2_augmented_kinematic_action_neighbors_targetnorm_latent_quat,static,residual_norm,31,31,0,19
