n,mean,median,trimmed_mean,mean_ci_low,mean_ci_high,median_ci_low,median_ci_high,trimmed_mean_ci_low,trimmed_mean_ci_high,dataset,r_item,scale,regime,metric,n_anchors,n_usable,n_below_5_neighbors,n_episodes
358,17.509548134903824,13.638738412138608,16.245399071673408,13.486433425814722,21.928952264502676,10.955193606238353,21.029452341691353,12.186633815253495,21.39585406876648,cube,R3v2_symmetric,r3v2_latent_action_neighbors_kinematic_divergence,transport_free,neighbor_radius,358,358,0,20
358,1.328195839813207,1.2461784751617517,1.2962581696398698,1.2629887734465606,1.3866459390034431,1.1798717133942183,1.3380525436129327,1.2286272814558432,1.3592973825873276,cube,R3v2_symmetric,r3v2_latent_action_neighbors_kinematic_divergence,transport_free,action_neighbor_distance,358,358,0,20
358,1.0005736147036228,0.614543547682062,0.8474315822630857,0.7501134537177907,1.2712930464747094,0.451072423923284,0.9861663341532554,0.5837298454920875,1.1533946468832286,cube,R3v2_symmetric,r3v2_latent_action_neighbors_kinematic_divergence,transport_free,local_expansion,358,358,0,20
358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cube,R3v2_symmetric,r3v2_latent_action_neighbors_kinematic_divergence,transport_free,model_sensitivity,358,358,0,20
358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cube,R3v2_symmetric,r3v2_latent_action_neighbors_kinematic_divergence,transport_free,residual_norm,358,358,0,20
358,10.226349864401344,10.008887419590494,10.128433320390876,9.777856565323372,10.64620142573335,9.43948188986487,10.488332088889146,9.652700530017722,10.565234548367178,cube,R3v2_symmetric,r3v2_latent_action_neighbors_kinematic_divergence,transport_free,kinematic_divergence,358,358,0,20
371,15.031764872404382,12.116702001771692,13.860477940002978,12.214466765463644,17.96573128507316,7.759094014383462,17.81540824093593,10.748592696543923,17.108493232375746,cube,R3v2_symmetric,r3v2_latent_action_neighbors_kinematic_divergence,interaction,neighbor_radius,371,371,0,20
371,1.1018661470603792,1.0675928337016618,1.0798321109660403,1.0714845188958846,1.1331824151775816,1.0297127393261882,1.092642579501327,1.0478617287686511,1.112630843730407,cube,R3v2_symmetric,r3v2_latent_action_neighbors_kinematic_divergence,interaction,action_neighbor_distance,371,371,0,20
371,1.619967971113833,1.027875831967116,1.3677009124499788,1.3237529924829048,1.9335887966607601,0.7142578366460166,1.569626668154042,1.0485952008808435,1.7366786857767698,cube,R3v2_symmetric,r3v2_latent_action_neighbors_kinematic_divergence,interaction,local_expansion,371,371,0,20
371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cube,R3v2_symmetric,r3v2_latent_action_neighbors_kinematic_divergence,interaction,model_sensitivity,371,371,0,20
371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cube,R3v2_symmetric,r3v2_latent_action_neighbors_kinematic_divergence,interaction,residual_norm,371,371,0,20
371,12.975138010570225,12.011474320648855,12.293765228137056,12.43322794753592,13.581549618158052,11.601982312260189,12.271416487208903,11.916791709369857,12.653928043355991,cube,R3v2_symmetric,r3v2_latent_action_neighbors_kinematic_divergence,interaction,kinematic_divergence,371,371,0,20
31,18.321579597131194,12.19302480139008,16.935886936802596,12.221388364349343,23.59965376125752,9.178901574427494,24.61797164335782,10.657708839908182,23.384976728755472,cube,R3v2_symmetric,r3v2_latent_action_neighbors_kinematic_divergence,static,neighbor_radius,31,31,0,19
31,1.3923935678920638,1.3539635847792915,1.3777794484909693,1.2238252568922363,1.5386704181949455,1.2143011305238005,1.5730998240150078,1.1903691563115573,1.5329285494845895,cube,R3v2_symmetric,r3v2_latent_action_neighbors_kinematic_divergence,static,action_neighbor_distance,31,31,0,19
31,1.1073410514052067,0.7055549487103056,1.023878784438149,0.7670326874664468,1.5424717704488573,0.4312708542536681,1.6287687074567498,0.6590965669115262,1.5389651744029111,cube,R3v2_symmetric,r3v2_latent_action_neighbors_kinematic_divergence,static,local_expansion,31,31,0,19
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cube,R3v2_symmetric,r3v2_latent_action_neighbors_kinematic_divergence,static,model_sensitivity,31,31,0,19
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cube,R3v2_symmetric,r3v2_latent_action_neighbors_kinematic_divergence,static,residual_norm,31,31,0,19
31,11.929442094460992,11.009459146878335,11.520049376236047,10.472502217844642,13.596311840982349,10.218781463825218,13.060267345441527,10.264945337119805,13.107809454730477,cube,R3v2_symmetric,r3v2_latent_action_neighbors_kinematic_divergence,static,kinematic_divergence,31,31,0,19
