n,mean,median,trimmed_mean,mean_ci_low,mean_ci_high,median_ci_low,median_ci_high,trimmed_mean_ci_low,trimmed_mean_ci_high,dataset,r_item,scale,regime,metric,n_anchors,n_usable,n_below_5_neighbors,n_episodes
6197,0.49013434972567643,0.4172971742589733,0.45443908677931705,0.464486512438599,0.5205067259410717,0.388948964221954,0.4588098731978674,0.42908266789663496,0.48257344586970036,fetch,R1,normalized_state_current_action_matched,free,neighbor_radius,6197,6197,0,200
6197,0.19216876770308575,0.17712269282375245,0.18236266792122924,0.1819730715202751,0.20278271680202167,0.1678680365038384,0.18645269870471295,0.1737107397866033,0.19121050040884816,fetch,R1,normalized_state_current_action_matched,free,action_neighbor_distance,6197,6197,0,200
6197,5.117280786934391,4.80114981732543,4.892862105268892,5.032932403012551,5.213445591133624,4.712516068603219,4.896826507328964,4.802058820267733,4.986835767176808,fetch,R1,normalized_state_current_action_matched,free,local_expansion,6197,6197,0,200
6197,1.6698815727272964,0.9116738367680498,1.2688034630801375,1.5633959743008137,1.7811707445564067,0.8477523227715448,0.9883327360092093,1.1620626692695384,1.390887937822932,fetch,R1,normalized_state_current_action_matched,free,model_sensitivity,6197,6197,0,200
6197,0.8098007332418902,0.3670554306261303,0.550450560596527,0.729439878417858,0.8977858274575139,0.3123153740070798,0.43067002470299104,0.48265324109916335,0.622142869870376,fetch,R1,normalized_state_current_action_matched,free,residual_norm,6197,6197,0,200
1069,0.7705641102763232,0.6959433961842918,0.7318892220146683,0.7157403711916892,0.8212609760532308,0.6344870474383102,0.767233878738569,0.6785167740887064,0.7816878056190107,fetch,R1,normalized_state_current_action_matched,interaction,neighbor_radius,1069,1069,0,187
1069,0.23833850070013682,0.22586472353736775,0.23027688124122797,0.23010625378392197,0.24751611832807005,0.21889183659403477,0.23283319495513488,0.22403755620867746,0.23742957689454858,fetch,R1,normalized_state_current_action_matched,interaction,action_neighbor_distance,1069,1069,0,187
1069,5.869047437656451,5.497214332957884,5.66535432246014,5.729776413879555,6.030603009104605,5.380740158107093,5.710095342519198,5.524930962786346,5.825308878691263,fetch,R1,normalized_state_current_action_matched,interaction,local_expansion,1069,1069,0,187
1069,3.8964688808920744,3.5523087761630747,3.6944244482761825,3.754344345026159,4.051023183387438,3.4553001935003835,3.643580856124427,3.5767916902190264,3.81090368652912,fetch,R1,normalized_state_current_action_matched,interaction,model_sensitivity,1069,1069,0,187
1069,2.550854506371939,1.8724750503041947,2.1517127365010538,2.2620535713380447,2.882541477704321,1.7249205160085443,2.037725902905761,1.9609200441599999,2.361607836231349,fetch,R1,normalized_state_current_action_matched,interaction,residual_norm,1069,1069,0,187
1321,0.4653204152839617,0.43726983464363517,0.44893577384365296,0.44749123559291043,0.48513605696618944,0.4177661455622416,0.46208180960183853,0.43159296416603915,0.46824264922620795,fetch,R1,normalized_state_current_action_matched,sustained_contact_dynamics,neighbor_radius,1321,1321,0,187
1321,0.19692984825405194,0.19056554743546916,0.19288909049009062,0.19142863714810138,0.202744687006329,0.18456837101843532,0.1962825141928934,0.18739854873073808,0.19855346379574734,fetch,R1,normalized_state_current_action_matched,sustained_contact_dynamics,action_neighbor_distance,1321,1321,0,187
1321,5.268578282246899,4.899172461744528,5.035149429520063,5.126557626402956,5.424474301323199,4.762393396581209,5.071905186851715,4.90776976572892,5.171706647075353,fetch,R1,normalized_state_current_action_matched,sustained_contact_dynamics,local_expansion,1321,1321,0,187
1321,1.9169804424256012,0.8386821597333813,1.4793312972417514,1.7037197604234808,2.164648934902338,0.7541267262727545,1.006227614069865,1.277086909531862,1.7262132593527408,fetch,R1,normalized_state_current_action_matched,sustained_contact_dynamics,model_sensitivity,1321,1321,0,187
1321,0.8468082646806829,0.3157191716874568,0.575493099807459,0.7292463026391618,0.9857362061999774,0.278053344697773,0.3629886358949961,0.48369037544886856,0.6952870169965645,fetch,R1,normalized_state_current_action_matched,sustained_contact_dynamics,residual_norm,1321,1321,0,187
682,0.6009209892605767,0.5465298447299622,0.5571415822123955,0.5659820894772333,0.6391125973202415,0.5217287008494018,0.569058987664786,0.5339779475461951,0.5854988613219919,fetch,R1,normalized_state_current_action_matched,post_impact_response,neighbor_radius,682,682,0,145
682,0.21835817786503633,0.20816172345733164,0.21165068643592388,0.21144926665676278,0.22643341787007298,0.20176749805632904,0.21439391666410512,0.20538401669294415,0.21944753710238488,fetch,R1,normalized_state_current_action_matched,post_impact_response,action_neighbor_distance,682,682,0,145
682,4.955726025519552,4.738007332274655,4.824340644511692,4.857897319236122,5.058818207423206,4.631311474060848,4.820078955582335,4.729023064925007,4.923825875269239,fetch,R1,normalized_state_current_action_matched,post_impact_response,local_expansion,682,682,0,145
682,1.7087065755292863,1.0844445937759708,1.4146710407388468,1.5320700742940034,1.9067471873927941,0.9829507386109964,1.2282860472950015,1.247868284864595,1.6016469999131748,fetch,R1,normalized_state_current_action_matched,post_impact_response,model_sensitivity,682,682,0,145
682,0.9869532349846538,0.484161539911311,0.6879455756226581,0.8219914355391731,1.1820629340424778,0.4276873423164011,0.572716560455574,0.5791274876905363,0.8351637462239311,fetch,R1,normalized_state_current_action_matched,post_impact_response,residual_norm,682,682,0,145
131,0.6374351394626542,0.4793029993117107,0.563641358399733,0.5554555077350479,0.7290582593907685,0.46637215898308204,0.5290540521725229,0.49259989705311463,0.6722916374617947,fetch,R1,normalized_state_current_action_matched,impact_onset,neighbor_radius,131,131,0,88
131,0.21757260958094554,0.19830776111823128,0.20753760162264784,0.203246705403204,0.23131952813712628,0.1863884130238907,0.20822324616254723,0.19545983583856621,0.22047696430609096,fetch,R1,normalized_state_current_action_matched,impact_onset,action_neighbor_distance,131,131,0,88
131,5.765429540326772,5.3815463230855665,5.627556054401637,5.496228760387697,6.0461872459899695,5.103715852386931,5.840037663406393,5.364814390083149,5.903739849829982,fetch,R1,normalized_state_current_action_matched,impact_onset,local_expansion,131,131,0,88
131,2.4100345400629823,1.790827677042153,2.07768956501021,2.034639566494711,2.816455004213423,1.433045589065127,2.4511226674763007,1.7333844062156472,2.515168105656955,fetch,R1,normalized_state_current_action_matched,impact_onset,model_sensitivity,131,131,0,88
131,1.6804531918463599,0.6857131815138408,1.1276765127810349,1.1884259314969512,2.197608085592202,0.5604863523516835,0.9544882484448035,0.7633352698753583,1.6354536534497772,fetch,R1,normalized_state_current_action_matched,impact_onset,residual_norm,131,131,0,88
