radius_bin,regime,n,n_episodes,radius_median
0,free,367,40,0.1882242275671197
0,sustained_contact_dynamics,1,1,0.20572960195123757
1,free,561,64,0.23024634023585544
1,interaction,4,3,0.24061712405766722
1,post_impact_response,4,2,0.23464972010168245
1,sustained_contact_dynamics,40,18,0.2422192229819563
2,free,473,93,0.2730709744982663
2,interaction,10,10,0.2738963842200978
2,post_impact_response,10,6,0.2719103876677049
2,sustained_contact_dynamics,85,35,0.2699112326670077
3,free,617,108,0.31153074177154894
3,impact_onset,6,6,0.3153936879089575
3,interaction,6,6,0.3033350102662369
3,post_impact_response,14,10,0.3059787548829543
3,sustained_contact_dynamics,117,50,0.3153052440551303
4,free,606,128,0.35151853943541617
4,impact_onset,8,8,0.3615486680501929
4,interaction,19,19,0.3643462935321597
4,post_impact_response,43,30,0.3589361946943902
4,sustained_contact_dynamics,187,78,0.355036451350048
5,free,538,153,0.3987386471156871
5,impact_onset,22,22,0.4103123331750109
5,interaction,63,52,0.40977502593900195
5,post_impact_response,63,41,0.4021695956521665
5,sustained_contact_dynamics,196,83,0.40117313844535596
6,free,519,167,0.4589791958933226
6,impact_onset,33,30,0.4646328961858322
6,interaction,97,73,0.4583058764408091
6,post_impact_response,111,65,0.4594272845651768
6,sustained_contact_dynamics,215,105,0.46111727521043233
7,free,689,169,0.5305722969013185
7,impact_onset,18,17,0.5273534029195889
7,interaction,141,88,0.5318042836780776
7,post_impact_response,151,82,0.5353800065610721
7,sustained_contact_dynamics,221,106,0.527198845343191
8,free,877,140,0.6482641125803816
8,impact_onset,20,19,0.6375747567704539
8,interaction,249,87,0.6396153761800905
8,post_impact_response,175,81,0.6474429996835858
8,sustained_contact_dynamics,184,79,0.6446061224988113
9,free,950,124,0.8957397167788776
9,impact_onset,24,17,1.3948873657952912
9,interaction,480,62,0.9828046577572709
9,post_impact_response,111,48,0.9297938454992127
9,sustained_contact_dynamics,75,34,0.8264716113661789
